commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
7b4cbfe84333e4daadfcf5450b7ef12abd582ca1,1,0,0,8,789.4624448,8,0.011784512,0.012065095,0.003852993,1460,2.940104417,9,1,1095417828,0,0,JCR-3
8628f11a69f2828fbc0cdcd9a90c6a8c770d498f,1,0,0,13,0,6,0.046805349,0.004581476,0.001777778,2625,1.921210924,17,1,1095431870,0,0,
c5c2e9c38f4bd468bf77a4a4007bd54711f72476,1,0,0,4,0.816388889,1,0.011197244,0.010335917,0.000296296,1161,0,9,1,1095468901,0,0,
84980248fe61e869a89a4315c794e4f128cc7ba2,1,0,0,13,0.875243056,1,0.00478407,0.024566848,0.001481481,2494,1.695815951,10,1,1095471123,0,0,
61fa0a5e788e03b650fb17e992707470df04fca1,1,0,0,2,0.876446759,1,0,0,0.000296384,0,0,9,1,1095696684,0,0,
33f1bb5101b90ba37e3a8e95a174e5c82ff81573,1,0,0,2,54.99903935,1,0.107954545,0,0.000296384,528,0,9,1,1095699218,0,0,
e3255454a4fa19d010665f7de4dabf62a43605d6,1,0,0,13,2.381258267,3,0.047121063,0.004552165,0.002074074,2625,1.933319123,17,1,1095706456,0,0,
3b0dc484c72851a4118ec605bfc519a0f8c3519f,1,0,0,4,0,3,0.654952077,0.001064963,0.000888626,610,0.099511578,20,1,1095753985,0,0,
64f53d8fc492e15443a5f2ff733161a8892c08e7,1,0,0,6,65.97108796,1,0,0.000661376,0.000296209,1512,0,10,1,1095774556,0,0,
ab2f5f36b898092a2f6258743f542c529d6332e1,1,0,0,6,0.06400463,1,0.021956088,0.027944112,0.000296209,1503,0,10,1,1095785641,0,0,
b10cc32b0bcd578e1a5ae7deec1ece73c5c1d772,1,0,0,6,0.060150463,1,0.015978695,0.016644474,0.000296209,1502,0,10,1,1095785823,0,0,
3e0d1a18706a4087b7f21f8a3f9d886fc9b53685,1,0,0,5,1361.760255,2,0.008310249,0.007386888,0.000592417,861,0.522559375,8,1,1095787459,0,0,
fce01782a8a256656490186dd3a4a0c0e4d2162c,1,0,0,4,27.0274537,1,0.062261753,0.041931385,0.000296209,787,0,10,1,1095840140,0,0,
72d344e077ece81788bb4d85f95bdb036be79bf9,1,0,0,2,14.06521991,1,0.117073171,0.004878049,0.000296209,205,0,0,0,1095840328,0,0,
a4003396ed6bf9e275c839c6d62bf99147a4c817,1,0,0,14,12.81085703,4,0.018987342,0.017762352,0.006220379,910,4.137835598,20,20,1095849974,0,0,
ab6127850fcf013be3b92e1cfe629adb3bbe65aa,1,0,0,14,0.003171296,1,0.017784137,0.01901063,0.006220379,904,4.137835598,20,20,1095893504,0,0,
f8421f43962810fd9b086dd61992c4e8e9e90e92,1,0,0,12,0,6,0.088152723,0.079449747,0.001776725,1229,1.38345749,12,1,1095942968,0,1,
042f99186dc83a03b3e677d12279f972fba36514,1,0,0,9,0.074837963,1,0.007964602,0.002654867,0.000592242,910,1,1,1,1095945216,0,0,
dd5fb002607460c73cd37ecc5f015cc0f7d6d547,1,0,0,9,0.001956019,1,0.002669039,0.008007117,0.000592242,904,1,1,1,1095979466,0,0,
65ab8bbc6a40bf7c7d545372dbeb65741c697613,1,0,0,9,0.00037037,1,0.007964602,0.002654867,0.000592242,910,1,1,1,1096018097,0,0,
b118e699a8475590f87a5252884028a65c02077c,1,0,0,9,0.00162037,1,0.002669039,0.008007117,0.000592242,904,1,1,1,1096022916,0,0,
9c8ceddad9173d648f85ea3879b2a8fa4ed4354d,1,0,0,9,0.001134259,1,0.007964602,0.002654867,0.000592242,910,1,1,1,1096033322,0,0,
7dc1d5c8f34f8e236515a53086599d9c5c4f97c4,1,0,0,14,0.072573854,2,0.017784137,0.01901063,0.006218537,904,4.137835598,20,20,1096035072,0,0,
135a9d230b07fbe8677e4a44692a66dfbb4a0a87,1,0,0,6,350.3902662,1,0.001648805,0.001648805,0.000296121,1213,0,10,1,1096043096,0,0,JCR-31
28cf0bdea10a9a6fe0d032536afd5f0ea4737524,1,0,0,5,70.8374537,1,0,0.001992032,0.000296121,502,0,11,1,1096072952,0,0,
bb66c948d8debf38e3e1a651df293c3d8b2a2962,1,0,0,10,34.18035549,5,0.063042485,0.016445866,0.002072846,832,2.035046253,18,1,1096102026,0,1,
a4b2629ff573a1cf6d7d47f4cfd0f053aa2b1fef,1,0,0,10,0.039953704,1,0.003605769,0.003605769,0.000296121,832,0,10,1,1096102521,0,0,
2610b5847b10fdade4afaa17406a3e8934f75f18,1,0,0,4,460.7369271,2,0.008818342,0.004409171,0.000592242,741,0.836640742,10,1,1096102726,1,0,
b3308c4658b9247f0752c4f2f1371283e544cd30,1,0,0,4,788.9192576,7,0.026822818,0.026445032,0.006218537,402,4.052801529,11,1,1096115193,0,0,
4ac7556dc8a2f1aae52711b8d8e55005690b6c17,1,0,0,2,299.0697338,1,0,0.03960396,0.000296121,101,0,9,1,1096116603,0,0,
3aa5596a6e3a1ef8bfa6fcde80bbea0fe36bdeeb,1,0,0,8,689.760987,27,0.017095716,0.017095716,0.022505182,1460,5.475739815,15,1,1096120937,0,0,
4af339ca03cd51df942131b637ec195b4642baab,1,0,0,3,469.6275984,3,0,0.025757576,0.001184483,389,1.992778107,10,1,1096147364,0,0,
57398e6e45e52935f07a43b9614ae75fea6e5acd,1,0,0,4,0.92875,1,0.000684932,0.000684932,0.000296121,1460,0,9,1,1096150423,0,0,JCR-10
8f91bf68c75aed2803e3423c71dfedfaabe98430,1,0,0,2,609.5200424,2,0,0.004944376,0.000888362,414,1.5,10,1,1096155549,0,0,
e9786634c3aaa9ed93ca46d9f0cd87b1500ce690,1,0,0,4,18.22484954,1,0,0.001725626,0.000296121,1159,0,9,1,1096196936,0,0,
22c2dd51ff5fe31166c5178989a9fbcd43611ed3,1,0,0,6,622.2976283,6,0.013183731,0,0.00355345,1523,3.249526022,11,1,1096196975,0,0,
7ee0854beb2a223803e1258f8e37f3d9bc5ac199,1,0,0,4,13.69581019,1,0,0.010752688,0.000592242,192,1,2,2,1096249057,0,0,
439bb4577efea094756f993ff3401a74af94dd2b,1,0,0,4,81.34202546,1,0.01754386,0.002923977,0.000296121,342,0,9,1,1096276003,0,0,
f26305fdfb01dadc9c76330a15fbecd890de23ce,1,0,0,10,630.1693142,4,0.032520325,0.003325942,0.001184483,2140,1.65601211,26,2,1096277456,0,0,
