commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
e8774c5ec3a35e042f320540b5f7e66ebd2d9e87,1,0,0,1,0,0,0.836409559,1.016514474,0.043636364,1045,4.680625894,35,3,1317747433,1,0,
2032ebbd0ed90734da39ca238bbd10dee24d0030,1,0,0,1,0,0,0.025,0.025,0.000727273,40,0,5,1,1317753558,1,0,
de297d4932e08625a5df146f0802041bb5aeb892,1,0,0,1,0.106805556,1,0.998878924,0.001121076,0.000727273,892,0,1,1,1317756661,0,0,
34efaae87639a83b60fdb7274de4b45051025a3a,1,0,0,1,0,0,0.006861063,0.013722127,0.002909091,272,1.650022422,5,1,1317835146,1,0,
7e9bba037c4fbd70c7efe1aefc7f2724ec78fcc7,1,0,0,1,0,0,0.003786854,0.001893427,0.000727273,3697,0,10,1,1318005288,0,0,
d410b89d9a0dfd7cbeb9766bbf32ab033cc802ea,1,0,0,1,0,0,0.02484472,0.02484472,0.001454545,92,1,11,1,1318014823,0,0,
228dd5b26313a9ce158712df1acabbd193c5ef98,1,0,0,1,0,0,0.077540107,0.002673797,0.000727273,748,0,11,1,1318014983,0,0,
82fc84f1331ade3f17a721fa0b86cd63b73746a2,1,0,0,1,0,0,0.011502516,0.012940331,0.008727273,343,2.950079475,19,1,1318015684,1,0,
5d9e3642f16050347b2a5b3a5f33724795a6300e,1,0,0,1,0,0,0.003401361,0.003401361,0.000727273,294,0,10,1,1318024172,0,0,
a4922697361ad640f3e49d105ac220f66e5ce18d,1,0,0,1,0.260069444,1,0.004043127,0.000539084,0.000727273,3710,0,10,1,1318027758,0,0,
3cdaeccf7f48c77b1e0f2406e32b0b3e65049011,1,0,0,2,3.934583333,1,0,0.021505376,0.000727273,93,0,11,1,1318355632,0,0,
f13ce13b70ef0f5858738ab4f3ec08483fe227c3,1,0,0,2,5.634178241,1,0.008094981,0.003777658,0.005818182,2327,2.802913941,25,2,1318510965,1,0,
c3ca5e770792368311f55717d8c4b0a0bdc5b7e7,1,0,0,1,5.74775463,1,0.0013488,0.002158079,0.000727273,3707,0,10,1,1318524364,1,0,
0218f14a6f938528c44a33afc917289fc175d87d,1,0,0,2,5.391053241,2,0.014423077,0.020432692,0.009454545,313,3.27605805,23,2,1318538129,0,0,
0d5283696da50237e43c6925cd7c3f82062a05e4,1,0,0,1,0,0,0.001534919,0.00051164,0.001454545,3417,0.811278124,19,1,1318595078,0,0,
527a100ef5de9c51fb17b0b340f036ee4cd98590,1,0,0,2,9.744837963,1,0.000485612,0.000454616,0.032727273,23319,5.488510162,23,1,1318595512,0,0,
