commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
fbe4b54a7472ef9f5f059cc17eb0376f850de383,1,0,0,1,0,0,0.293103448,0.025862069,0.001029866,116,0,2,1,1310241434,1,0,
894139230ecd4b80be605037f7785fc1deabdd08,1,0,0,1,0,0,0.048042705,0.112099644,0.004119464,225,1.921196605,4,1,1310417799,1,0,
8118f98dd87aa358939fd46b46bfeb434a19b2d1,1,0,0,1,0.0096875,1,0.977156211,0.000500751,0.356375839,707,8.204040936,279,1,1310418636,1,0,
87abdfbec7edeb848169b52aa1c927a34a0f1619,1,0,0,2,0.876655093,1,0.009930121,0.009930121,0.018791946,563,4.237559781,67,1,1310494379,1,0,
0ffd5d7d0687383649e8535cbd37074d3a10a467,1,0,0,2,1.58554784,2,0.008498584,0.008498584,0.002013423,127,1.584962501,4,1,1310496002,1,0,
0e5d49861cb0e1dd167e7c6b7d90f2ab6f7a5e6f,1,0,0,2,3.282494936,2,0.148502346,0.114940455,0.038795987,750,3.677015427,72,1,1310744849,1,0,
2039fda011c5f4b774902ebfd0769ef17a09431b,1,0,0,1,0.011145833,1,0.976190476,0,0.001337793,42,0,6,1,1310745812,0,0,
ab91258fd45c21b9da5976f1de6d66c53b0016b3,1,0,0,1,0.012835648,1,0,0,0.002010724,0,0,3,1,1310745958,0,0,
5cddbb7b37ca9de2b219673cbd096fdf6a2988d6,1,0,0,1,0.003344907,1,0.976190476,0.976190476,0.001340483,42,1,6,1,1310746101,0,0,
45b7bf4fc47c5523c212f9709e3cc500082d0adc,1,0,0,1,0.021944444,1,0.975609756,0,0.001340483,41,0,6,1,1310746745,0,0,
c91ddf581c57f6e12bd1758f7002db99d3c70ceb,1,0,0,2,0.12724537,1,0.549036403,0.55117773,0.008713137,748,3.165218826,22,1,1310755843,0,0,
71aa33833ac8435477cf3d5862a6f0fc5fa77f1a,1,0,0,1,0,0,0.002087683,0.004175365,0.000670241,479,0,9,1,1310757098,1,0,
c507033cb807650498697edb28384e2e26314817,1,0,0,1,0.180917659,2,0.020995334,0.018662519,0.004691689,750,1.625720194,36,1,1310765192,1,0,
1e7d5ef6c890c02f34be469ae6e52a8c24e6bade,1,0,0,1,0,0,0.859375,0.346875,0.008701473,44,3.434465946,9,1,1311175836,1,0,
63fd0127aa42877f78573269a832974e9bc842ff,1,0,0,0,0,0,0,0,0,0,0,0,0,1311175845,1,0,
36b2ea4d81c8fa1949f59666d911836b7ad165f4,1,0,0,3,10.86534741,6,0.342564977,17.07200682,0.549949546,257,8.252614018,309,1,1311364729,1,0,
67031fad671d452a2153ead3244c7f2d56bf6c0b,1,0,0,1,0,0,0.9921875,0,0.001008065,128,0,0,0,1311604248,0,0,
d1310afff6ad993905ca9b69057aeaab62a313ee,1,0,0,1,0,0,0.009876543,0.009876543,0.001008065,405,0,1,1,1311604303,0,0,
