commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,fix,isBug,bug_id,commit_time
e1f1b6480da6a1a230bfe7500fe4fe37d7748224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1315233658
89e282fb559225ff144328bf2295f94185c048e9,1,0,0,1,0,0,0.98931353,0,1,793,6.766114952,71,6,0,1,AMBARI-71,1316708035
7c647cc4faec817ac3ca23326792ee0d0dadec71,1,0,0,2,0.282835648,1,0.283035714,0.094642857,0.066666667,192,3.136123987,24,2,0,0,,1316732472
5bbaa8bc283c7c64f07f86c15b445958adaba8e4,1,0,0,1,0.295474537,1,0.963963964,0.004504505,0.02020202,90,1.656039585,8,1,0,0,,1316733564
c8df5a65768b54ecb7b853757fc776fd4d1f0657,1,0,0,2,0.257756559,2,0.041450777,0.024870466,0.03030303,498,2.350494737,10,1,0,0,,1316734560
24b7f49cebfb6d1692761de374cf7011d9459753,1,0,0,2,0.277700617,2,0.412406271,0.423994547,0.055555556,521,1.85857749,20,2,0,0,,1316740870
2ea901733c1a483a4cbda8f8e457a46e0fb198f4,1,0,0,2,0.190813079,2,0.006724304,0.007684918,0.02020202,793,1.889246429,10,1,0,0,,1316742849
70acdb7536ffbcecf01b85fecef18d5b813ec346,1,0,0,3,0.578000579,3,0.097097097,0.095095095,0.02020202,705,1.662325085,2,2,0,0,,1316783590
5d87aa09941f5e45c38227fdea7fc5e7b5ef2b32,1,0,0,3,0.975198575,7,0.17799135,0.141950985,0.532994924,733,5.584787386,56,5,0,0,,1316799692
9683b784e507922ae4165b0e0b0e15772883a9ce,1,0,0,3,0.177907487,4,0.290518716,0.290518716,0.147208122,733,4.067324123,32,3,0,0,,1316804464
f8416d3499d9218607499f0567e3ccabe95db933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1316809284
ac11baa6006b937dc3ab8a82daaa77d746dc8674,1,0,0,3,0.118224537,2,0.113013699,0.00913242,0.03030303,529,1.29972553,10,1,0,0,,1316810861
9b68d298b93329564d0f87fe96624827360771ef,1,0,0,3,0.130219907,1,0.095238095,0,0.005050505,21,0,0,0,0,0,,1316810943
8a879e70cac55f2a067056ac69a4f5b2f5519232,1,0,0,2,0.342780093,2,0.706331045,0.12890923,0.044776119,634,2.124802809,14,1,0,0,,1316831217
1b00f2734408b54afe504f8d9382fc233265648e,1,0,0,2,1.1403125,1,0.2,0,0.004975124,15,0,0,0,0,0,,1316898215
ebdda675a19a3cb20a21f1d74094d4d385ee837a,1,0,0,4,2.971533565,2,0.166237113,0.137886598,0.019900498,735,0.312176553,18,2,0,0,,1317064403
659e779f291d00b27a25cbefdcd982960e0b8d42,1,0,0,2,3.009108796,1,0.198275862,0.181034483,0.004975124,116,0,10,1,0,0,,1317064451
398d6fc791c241bc9aee3a6dafcc5a21b165adeb,1,0,0,1,3.987986111,1,0.0125,0.0125,0.004975124,80,0,11,1,0,0,,1317077034
de6723ca1494f16ca3876d79195a98ec0f510ac5,1,0,0,4,2.678803241,3,0.332822086,0.009202454,0.048543689,762,1.639659113,4,2,0,0,,1317086333
e09aa9158f24234145487467c665b3640ebda823,1,0,0,3,2.020387731,3,0.387474191,0.443220922,0.038834951,466,2.583554479,20,2,0,0,,1317109001
99e4ac8dd99459393a9110d60711235321c609c8,1,0,0,1,4.100833333,1,0.143712575,0.107784431,0.009708738,103,0.650022422,8,1,0,0,,1317154004
e693db393fa02773c104f4a2057d840d8b0c2aa0,1,0,0,2,4.574510031,3,0.643086817,0.221061093,0.089622642,226,3.997622396,22,3,0,0,,1317157696
8014a99c98984d0fea5c44d0ad9b295fda7eec43,1,0,0,2,0.030833333,1,0.045643154,0.033195021,0.009433962,124,0.899743759,5,1,0,0,,1317160360
bdda84b7d470730e89788cf35dfa029a76b8f3d1,1,0,0,3,3.266273148,4,0.194942044,0.043203372,0.046728972,218,2.638686074,12,1,0,0,,1317169039
b60859a84c9c220209176b5ed20812e777226591,1,0,0,3,2.743724747,4,0.55033557,0.384787472,0.060747664,214,3.268609074,22,2,0,0,,1317194261
52cc5807c3aed381edccb10089f5bbd5f6dbeaad,1,0,0,2,3.58380787,2,0.046961326,0.002762431,0.009345794,227,0.309543429,21,2,0,0,,1317254725
76c58aad2526871f3d62d46406a72441d7e81271,1,0,0,1,1.153425926,1,0.032608696,0.005434783,0.009345794,130,0.985228136,5,1,0,0,,1317257352
4318032dae2cb7ba00f7e3e70d15d18752b48053,1,0,0,3,3.500160256,4,0.144439095,0.241213288,0.0657277,495,3.051797995,20,2,0,0,,1317259082
72b5ee3e828ac821ce0172db886837044acf26d4,1,0,0,2,3.596739005,3,0.071310116,0.013266998,0.018779343,232,1.943626623,21,2,0,0,,1317259934
993c1962ccc56b0f8f9ca0b9a676eda6ece867d7,1,0,0,3,3.685390625,4,0.154509804,0.114509804,0.018779343,782,0.576940025,3,3,0,0,,1317264238
1025c4fdad0b3eba88bb53180e7324468d13e108,1,0,0,1,0.684363426,1,0.315789474,0.005263158,0.009345794,134,0.46377735,5,1,0,0,,1317316481
6313d0c2dafcf3153e89f293e72d4e92b487ce5a,1,0,0,3,2.014448302,4,0.107377049,0.035245902,0.056074766,217,2.436807261,12,1,0,0,,1317317361
1e1c4900bfaba125eed1a75c3354962435ea24c2,1,0,0,3,1.45291088,3,0.133175729,0.050433412,0.028037383,592,1.366651818,20,2,0,0,,1317323783
48c62126900585f6cb31b9f3469a22859430a0c4,1,0,0,3,1.226147762,2,0.134988363,0.055857254,0.028037383,616,1.876063535,20,2,0,0,,1317343169
d049bd3b8d46ed4f5b743990e32f3b3f6619d21d,1,0,0,2,0.008009259,1,0.04076087,0.013586957,0.009345794,221,0.881290899,10,1,0,0,,1317343861
f2dc15e3303a9d53cf53ceccf20137852dbfac1e,1,0,0,4,2.460494792,7,0.088495575,0.031605563,0.060465116,249,3.452860883,29,3,0,0,,1317345043
45450ba18b0c8b975b9b4486cf5f0d860ac7f82c,1,0,0,3,3.488179012,4,0.042367601,0.062928349,0.041860465,615,2.374619039,20,2,0,0,,1317367771
45f31785d12c2ca2a44a59a6468b0fa69e1810d1,1,0,0,4,0.789453704,2,0.14159292,0.109987358,0.023255814,214,1.468519207,12,1,0,0,,1317402179
1a8a12e328759b430d51e60352074c0518bddec1,1,0,0,3,0.003541667,1,0.004672897,0.004672897,0.004651163,214,0,8,1,0,0,,1317402485
ef1f89c47ab2bb8ae40f9d62e4e99cdc87bc8a62,1,0,0,3,1.68576196,3,0.114503817,0.016793893,0.027906977,618,1.668615548,20,2,0,0,,1317408551
967631391d359e0a891ec6b412d4ba77a69a71e5,1,0,0,4,1.888364198,3,0.027060271,0.017220172,0.027906977,796,1.732175555,6,4,0,0,,1317421794
899e87c6fcfa8aa5b19650c1600d20589e5d53ce,1,0,0,4,1.042725168,8,0.408906883,0.351648352,0.077625571,249,3.64347929,18,2,0,0,,1317433345
8448ab4e2003345aa95dfaeea7448ad747520a97,1,0,0,4,0.481960359,5,0.156586578,0.018227009,0.03652968,325,2.213850454,10,1,0,0,,1317451061
ae6058012b652ee2d62cbc203a8534f30df4a369,1,0,0,4,0.602193287,3,0.012510425,0.008340284,0.01826484,801,1.804107451,2,2,0,0,,1317484028
33afc92c75c4ae7956824bbaa080200212ca75d6,1,0,0,3,5.119179688,9,0.044465926,0.035282745,0.073059361,329,1.725576544,18,2,0,0,,1317598686
b5ab88c75766bbc3d88621c1f49a41df652d3b21,1,0,0,3,3.044895833,4,0.127753304,0.104845815,0.04109589,329,2.142442496,19,2,0,0,,1317658342
866c8206f28c8c7f7f1249c3833f7010b229fa5f,1,0,0,4,1.478058128,4,0.084455324,0.751529988,0.041666667,278,2.015532877,20,2,0,0,,1317678696
ebc5c0e9e44e9fae1ffe7cabc231cedc7edc6153,1,0,0,3,0.003645833,1,0.021220159,0.015915119,0.009259259,280,0.985228136,10,1,0,0,,1317679011
d2a0c7fa33efc0baf2c2514b525da61a57668038,1,0,0,4,6.09200463,5,0.174548581,0.082545142,0.046296296,219,2.462667743,10,1,0,1,AMBARI-143,1317750019
26f384c9e4303589eb46bcc68c8c95410369982c,1,0,0,3,0.058287037,1,0.113948919,0.070726916,0.013888889,241,1.152930159,9,1,0,0,,1317755055
d35bf129c3fa84a84282c3116de640dee3982abc,1,0,0,3,0.197141204,2,0.073791349,0.089058524,0.018518519,220,1.215028404,9,1,0,0,,1317769570
dbcde4ac818a1be649f8bc2a23768b7e29a8a65b,1,0,0,3,4.080237269,2,0.766146993,0,0.013824885,342,0.080197534,3,1,0,0,,1317780484
de6f687a2f4c73179bb6a53a31ab494def65f66a,1,0,0,4,0.505782407,3,0.104554865,0.055900621,0.023041475,249,1.995705626,10,1,0,0,,1317798636
98b9b505bf3c85f2652c19a2bea4d75161bf1ba8,1,0,0,4,5.217854663,6,0.146326276,0.135740971,0.082949309,280,3.789516175,10,1,0,1,AMBARI-143,1317881299
22174a76efd6c444f54b2303a336d56dd17b921a,1,0,0,2,0.494560185,1,0.011257036,0.00750469,0.013824885,253,1.521928095,9,1,0,0,,1317924029
2792a42a4caf14c2059293f4d910aacf63ef9672,1,0,0,3,0.583321759,1,0.094936709,0.03164557,0.00921659,93,0.811278124,9,1,0,0,,1317931698
466c9a8025e80f05e2ca595ef23023d20c8639a8,1,0,0,4,0.301857639,2,0.036809816,0.009202454,0.00921659,226,0.970950594,10,1,0,0,,1317932579
870dafbe5ece2154a5a0beaad45948dfcbb33ce5,1,0,0,4,2.945314153,7,0.040197897,0.025355597,0.032258065,628,2.266336251,20,2,0,0,,1317936572
06f78edeb92703f5ad7b4defcf25def42394a4cd,1,0,0,4,0.001018519,1,0.044207317,0.00152439,0.004608295,656,0,8,1,0,0,,1317936660
aad4e05cfb980a7a669e3614e7b91b51efede679,1,0,0,1,0,0,0.933333333,0,0.004587156,15,0,1,1,0,0,,1317936988
fe903f63215b46e5aabfa3d453496b0b0dce5c00,1,0,0,4,5.722660108,4,0.092537313,0.010945274,0.027522936,261,2.351251281,22,2,0,0,,1317952450
0160a2c8d3a77738769973dde5ec7233ec109564,1,0,0,1,6.017876157,4,0.105263158,0.047697368,0.018348624,267,1.476677448,15,2,0,0,,1318016992
f6e6f69eceebea740d6aa95ce391a59914ef1d3a,1,0,0,4,0.415509259,2,0.111111111,0.014336918,0.009174312,185,0.422000517,5,1,0,0,,1318020621
95e20694def418e172a073dcc5279bd74e9ea408,1,0,0,4,3.52129919,4,0.54241817,0.152972612,0.061403509,658,2.373668739,18,2,0,0,,1318028005
b406b60fbacbf1fdda7175fed8a8ceacc3ac9f78,1,0,0,1,0.02375,1,0.04784689,0.076555024,0.013157895,273,1.364640463,8,1,0,0,,1318030057
fe5af16fa7ad0551cebdd87e29962d4b921aa864,1,0,0,4,3.334161523,7,0.06751269,0.035025381,0.039473684,693,1.527801978,23,2,0,0,,1318109434
ba8d9fb4f9109a02157c45233f848308b1989658,1,0,0,4,0.20720679,2,0.060665362,0.059686888,0.043859649,692,1.40030623,24,2,0,0,,1318109894
2808545a2602b463844b83beac6b83bc0aa607e4,1,0,0,4,0.070266204,1,0.013681592,0.02238806,0.00877193,692,0.362051252,8,1,0,0,,1318115965
83d57bf6a1645555da6b6d2bcd68f4c2080e4f3d,1,0,0,1,9.341446759,1,0.509186352,0.296587927,0.004385965,381,0,3,1,0,0,,1318228895
c1987ed5f9593624d8d224623793e58d355718ad,1,0,0,4,6.523656684,11,0.080577849,0.091492777,0.070175439,658,3.22171957,19,2,0,0,,1318231542
a9bc0be0c06f9b32f34bcca0f6ef8731744a99d0,1,0,0,2,7.673518519,1,0.987654321,1.514403292,0.030837004,95,2.789930237,10,1,0,0,,1318261678
0e6fa6dda071952f4d6350026a1220b4cc3f45d1,1,0,0,4,4.077300926,5,0.216159496,0.090241343,0.026315789,293,2.107216922,21,2,0,0,,1318283463
434d56491b834c33f17cfb66d82548e58a70180e,1,0,0,4,1.143596965,6,0.068814855,0.018022938,0.039473684,659,2.22640185,21,2,0,0,,1318289995
8ac818ad88c95661085feff1b276d99f339aeea8,1,0,0,4,3.594135802,5,0.063676633,0.079180509,0.039647577,672,2.523333091,21,2,0,0,,1318291153
b5fdfc031879319e2c705c5c6d1d8ef4efc328f1,1,0,0,4,0.08099537,2,0.19,0.005714286,0.01754386,283,1.111406782,21,2,0,0,,1318297765
9f217483b44249e1b119d544545f7777cb95cf7b,1,0,0,3,0.172847222,1,0.051546392,0.054982818,0.004385965,291,0,8,1,0,0,,1318306087
9fb6417b545196187462598accd7bbfb2a05b9d4,1,0,0,4,2.709972222,4,0.099328859,0.061744966,0.021929825,712,1.606457352,21,3,0,0,,1318317670
af2029c69e5261344871b26fd77bc60027e45985,1,0,0,2,13.30716172,12,0.080517313,0.069670421,0.096491228,287,2.821920892,16,2,0,0,,1318352955
06a53a0633d11b2b56b8d9d12a29c63bb4317a07,1,0,0,4,0.666863426,2,0.046121593,0.044025157,0.013157895,285,0.947581567,10,1,0,0,,1318353178
3fc0d4e0ff8f67b597bbd7bdf3dd946f2ebc9a78,1,0,0,4,0.061255787,2,0.113464448,0.045385779,0.01754386,304,1.418062739,15,2,0,0,,1318358359
