commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
9a0bad0604f93cb5733958532c8cc9dac2b605d7,1,0,0,1,0,0,0.989882639,0,1,2350,5.497862076,27,2,1239305142,0,0,
22c72f70298ae5b2edd636ddeb363d6d8f750685,1,0,0,1,0,0,0.99270073,0,0.009009009,137,0,0,0,1239306272,0,0,
af32499fc9a5b141c80fb72a651d09b49eedcc77,1,0,0,1,0.014935988,2,0,0,111,0,5.52270058,27,2,1239306444,0,0,
5f34eb05951630323033eb8bdd89703a856e082f,1,0,0,1,0.051793981,1,0,0,1,1,0,0,0,1239310919,0,0,
3b821839ea78784c99848626c495245006e31b30,1,0,0,1,0,0,0.991150442,0,0.5,113,0,0,0,1239311365,0,0,
5d5df8f9ecfb5a568d13054bea859f075dc32f20,1,0,0,1,0.002094907,1,0,0,1,0,0,0,0,1239311546,0,0,
df459c34d674a40ac6e1dfaef995d47f0f11cf19,1,0,0,1,0.000300926,1,0.991150442,0,0.5,113,0,0,0,1239311572,0,0,
af64465511bb744ab888859945792372374d988a,1,0,0,1,0.059733796,1,0.99270073,0,0.333333333,137,0,0,0,1239311605,0,0,
4fc2ebf41689ef79dac5e1286fdc71f70f693d65,1,0,0,1,0.005852623,3,0,0,3,0,0.99323382,0,0,1239311871,0,0,
e8a0c370ddd6fb6bb70c0742ad7e864b819c2d08,1,0,0,1,0.069826985,2,0.989882639,0,1,2350,5.497862076,27,2,1239312533,0,0,
8edb62db76579f58d3713e6dde9345363153d2df,1,0,0,0,0,0,0,0,0,0,0,0,0,1239314761,0,0,
e2b3d669da0efd84d73805d0fe11383b049ca3de,1,0,0,1,1.085231481,1,0.548076923,0.134615385,0.035714286,135,1.832117,13,1,1239406297,0,0,
fc29ce8b138b408b3ae054c2bfca61cc08c0c232,1,0,0,0,0,0,0,0,0,0,0,0,0,1239612876,0,0,
7947e7367bfcbd96851ef986d99ef170ee09c992,1,0,0,1,4.955032407,2,0.158218126,0.071889401,0.178571429,506,3.683107625,13,1,1239745336,0,0,
9b14a2a7da50853d869d0fa0f153c6dbcbd4a2de,1,0,0,1,2.524855324,2,0.125313283,0.047619048,0.035714286,240,1.481769192,6,1,1239747082,0,0,
