commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,fix,isBug,bug_id,commit_time
c96a6d0c691194f79b5199753b10f111f9206f2b,1,0,0,6,758.0148611,1,0.277777778,0.233333333,0.000479616,90,0,4,1,0,0,,1312309350
9664f8afe624f3e3910e186530fecd94f181f96c,1,0,0,5,76.8578125,1,0.052840159,0.015852048,0.000479616,757,0,0,0,0,0,,1312403778
1fb186d203906ed9a3631b8be3ee78ed6eadd311,1,0,0,5,1.71E-03,1,0.007863696,0,0.000479616,763,0,0,0,0,0,,1312403780
82e0bdbce12fcba046d28aab6857dde8a828ccae,1,0,0,4,48.65446759,1,0.038461538,0,0.000479616,26,0,5,1,0,0,,1312403781
328e0520caa2fe4d1d2fdba309df485f2469c83e,1,0,0,4,180.0328009,2,0.028735632,0,0.000959233,119,0.721928095,6,1,0,0,,1312568147
040a8a35363998fe682c2512bcb301661f7a8243,1,0,0,15,22.93998948,4,0.047489824,0.02917232,0.005755396,899,2.872060174,14,3,0,0,,1312833449
123cbcf708aab8b7f831dccb25e0dd008a306c91,1,0,0,11,72.3974267,3,0.210300429,0.001430615,0.002395783,282,1.367231955,9,1,0,0,,1313063758
53330d7ff46d114579ef31ce91f1564f6976e962,1,0,0,12,1.257112269,2,0.005617978,0.005617978,0.000958313,758,0.940285959,0,0,0,0,,1313100559
e92b03dd0e1352e1ae4041526bbae247a6b94e46,1,0,0,12,61.79221644,2,0.00390625,0.00390625,0.000958313,488,1,4,1,0,0,,1313281663
c115b05ee7a058d961337cf7685e998203431e6c,1,0,0,4,511.0776968,1,0.013574661,0,0.000479157,221,0,5,1,0,0,,1313289432
eb829d34b45c701807cb07315c450c45f1fe879c,1,0,0,2,204.5533565,2,0.331896552,0.021551724,0.001436782,127,1.079884056,7,1,0,0,,1313455588
0e6709644eafc2474a2aecb4809aecd22f938d44,1,0,0,7,151.5421528,1,0.013513514,0,0.000478927,74,0,4,1,0,0,,1313700277
f6d2e8a65fa694c2c1a3ced2477ba7d068cfd2eb,1,0,0,3,146.3939583,1,0,0.047619048,0.000478927,42,0,4,1,0,0,,1313710577
1c1c7cc5b8707e809e76c52c5cb73f3ec2900ea9,1,0,0,2,76.46613577,10,0.288109075,0.0344211,0.026227945,330,4.262372336,37,2,0,0,,1313710581
f27f6ef068a64d64b6b8f0a442569b794ef13c9b,1,0,0,1,0,0,0.981981982,0,0.000952835,78,0.87329842,3,1,0,0,,1313711398
d5c5d60e49799aaf9a7768fb18c3f50ec23df0e1,1,0,0,11,3.974172454,2,0.005703422,0.039923954,0.000952835,454,0.41381685,4,1,0,0,,1313776772
8f5fdafcc7758bb5bba3ddf9e6881593c5604414,1,0,0,3,406.9579282,1,0.602112676,0.049295775,0.000476417,284,0,2,1,0,0,,1313776850
ff43deafaa2dacbc613def899d318e78e7227902,1,0,0,2,1127.768171,1,0.026315789,0.026315789,0.000476417,38,0,4,1,0,0,,1313776919
18f02194238bc2a0a4d867d01ea647144a9ea632,1,0,0,6,0.542893519,1,0.021881838,0.021881838,0.000476417,457,0,0,0,0,0,,1313777758
