commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,fix,isBug,bug_id,commit_time
c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9,1,0,0,2,0,1,0.992427681,0,1,1256,7.535640613,110,8,0,1,BOOKKEEPER-561,1301527761
e988271acee2c217209d5c7f52c07f6211257e97,1,0,0,2,0,2,0.988812464,0.978122151,0.416083916,764,6.431471853,40,3,0,0,,1301553983
30c326643938bb3df6b35515e714622d98772352,1,0,0,2,8.574570707,2,0.139048991,0.123919308,0.038461538,250,2.271504887,26,6,1,0,,1302280523
8ee32a8ab80dcd51f7846972d92b7c9e83d99862,1,0,0,3,50.30880787,1,0.02722323,0.003629764,0.006968641,537,0.787126586,8,1,0,0,,1305900664
9ea30d361649e13f28efb05ea2155cf765267a2f,1,0,0,2,46.70373843,1,0.075268817,0,0.003484321,93,0,1,1,0,0,,1306315726
266b1c2744a35b9379ba5e7023322a2450b91090,1,0,0,2,4.812835648,1,0.25,0.125,0.003484321,16,0,0,0,0,0,,1306316493
267ed95a2ae2ef1a8f6a3166b217d86a28166391,1,0,0,4,41.0196441,3,0.107366771,0.003918495,0.017361111,537,0.537155192,16,1,0,0,,1307375378
d20cb28943e80c1d39cca5916f459651e29dd573,1,0,0,1,89.10671296,1,0.99070632,0.699814126,0.047619048,220,3.433188996,1,1,0,0,,1309226581
00f25f5622e69f063202f7bd46f09ad1d708983d,1,0,0,4,81.4830816,2,0.038163001,0.003234153,0.013605442,773,0.930892729,14,1,0,0,,1310049470
45aeb04735d120d3aa9a0110becf3ba2d7ef6afc,1,0,0,4,85.69329778,6,0.077653862,0.051218505,0.054421769,546,2.932513928,36,4,0,0,,1310466965
74397e3e20b2cd3e3c920f00be7f044cf548e076,1,0,0,4,0,5,0.168862691,0.008668516,0.030508475,937,2.597015495,15,2,0,1,BOOKKEEPER-938,1311878032
3e9d596480537e45a23e591a1daabddffd2b15bf,1,0,0,3,72.14114352,3,0.076404494,0.004494382,0.016949153,155,1.341561858,3,3,0,0,,1312070308
de1c3b26a1162fb545c91d9cef4eed435c662a66,1,0,0,3,71.30223958,2,0.10212766,0.010638298,0.006779661,441,0.313812964,8,1,0,0,,1312972659
0910d6cd7ffb1a7b78ab91a327715e936a3eb9e5,1,0,0,4,54.44293596,4,0.08186929,0.019676739,0.020338983,1069,1.321149991,15,1,0,0,,1313087812
40b13a6b7db9d2da337dce0c7084d8c87c4d6b06,1,0,0,4,0,5,0.03046595,0.025089606,0.027027027,1057,2.1550787,16,1,0,0,,1313091441
a772663c8e7051396bac5bae5b4ba7bc7ec75e78,1,0,0,3,79.04278935,2,0.010245902,0.00204918,0.006756757,452,1,9,1,0,0,,1314138898
a01067bb2003e6836acc638b734581844eb08324,1,0,0,4,52.59646991,3,0.143646409,0.01878453,0.010135135,608,1.038124834,9,1,0,0,,1314139109
5095045d969a5fb4b7849cce89e3fa24ee830320,1,0,0,3,72.98515046,2,0.047272727,0.003636364,0.006756757,231,0.985228136,9,1,0,0,,1314139352
c30c309bf95a6ba145d33326af73253fb835b1b4,1,0,0,2,0,1,0.989010989,0,0.003367003,91,0,8,1,0,0,,1314139426
ad96c00dcd01ee310c63f78211c6b66c8c874e05,1,0,0,4,5.78646412,2,0.004580153,0,0.006734007,609,0.918295834,8,1,0,0,,1314639181
da1df6bcf4f3a1cc2ed4d3798764e855555ab8f8,1,0,0,3,46.44826852,3,0.923449319,0.001966717,0.020134228,6182,0.04189514,11,4,0,0,,1314639256
afdd3dd1e7e06f97e29ff5bcaa2001f81f6d9210,1,0,0,3,102.2134763,5,0.417045455,1.686363636,0.077966102,143,3.185963713,13,6,0,0,,1314693271
675efc92fdb7c88ff9b871ba2ccf56974f769544,1,0,0,3,76.21709491,2,0.009708738,0,0.006779661,566,0.918295834,9,1,0,0,,1314695673
360174f12df9b853e4f3b65631c4063e150beb8f,1,0,0,3,76.244375,2,0.107969152,0.089974293,0.006779661,333,0.294615206,9,1,0,0,,1314699231
28377803242f8514fcdf17f7a808aa756fa158b9,1,0,0,4,77.27059028,2,0.00729927,0.001824818,0.006779661,489,0.970950594,8,1,0,0,,1314802786
79ea05a3cbcc953bd86f024eb4143e4b85fcd8f1,1,0,0,3,81.63756366,2,0.252189142,0.001751313,0.010135135,379,0.559219435,15,1,0,0,,1315218759
ba9ebc213c14aa5d16a26f2e0601a39ac5888e10,1,0,0,4,131.5401859,19,0.266589697,0.258865248,0.581081081,6454,2.941264461,96,5,0,1,BOOKKEEPER-561,1315244337
6823a35ceafcaf3d8802a8e502883d3d07e891f7,1,0,0,4,10.88658565,1,0.026894866,0.023227384,0.010135135,575,0.558777016,8,1,0,0,,1316184938
06eea6791177f3d9dcb116ceccff2f6c3f619a39,1,0,0,3,40.62041667,3,0.09375,0,0.013513514,146,1.769113428,2,2,0,0,,1317920051
9639b64a1296f937a7b2704de671a38deb31007b,1,0,0,3,28.56933256,2,0.013302034,0.003912363,0.010135135,579,1.539484757,9,1,0,0,,1318026261
c980c700d1313911903df3d4c3d48cf8da441827,1,0,0,3,36.51286651,2,0.031390135,0.022421525,0.010135135,88,1.459147917,2,2,1,0,,1318887566
2f2f6c66da80e1f2e8a0f7661e91bcd0898d6289,1,0,0,4,0,3,0.073282443,0.006870229,0.03030303,767,1.994725207,15,1,0,1,BOOKKEEPER-980,1318927366
2c91d144a7e283c09e90b3065aa6fb352e177083,1,0,0,4,21.71088542,2,0.015822785,0.028481013,0.006734007,244,0.591672779,8,1,0,0,,1318961672
d05e52ce5a6bf8b0076685ccec03f5ab91b2b32d,1,0,0,3,1.00380787,1,0.027027027,0,0.003367003,74,0,0,0,0,0,,1319048401
477eb1053f5c1bff1c0037fb0d6a02b468148682,1,0,0,3,4.194403935,2,0.109375,0.053125,0.006734007,244,0.235193382,8,1,0,0,,1319350280
4f09c6b4af38b51d259d8a6068806f7f22cc1847,1,0,0,3,24.90635995,2,0.024038462,0.004807692,0.006734007,128,0.918295834,9,1,0,0,,1319449218
45f2edbb1c3233309f6498e581e4cdcd87dcb70a,1,0,0,4,25.56727431,2,0.021978022,0.021978022,0.006734007,102,1,8,1,0,0,,1319555790
d6465cad801b4ee89b77d1beec6acc371f8ddb6c,1,0,0,4,0.951481481,1,0.054945055,0.054945055,0.006734007,100,0.468995594,8,1,0,0,,1319637998
c898d53ab269fbd64cb00919808c7bb0c52c53a6,1,0,0,4,35.3708416,3,0.123300091,0.03218495,0.026845638,590,2.266641598,16,1,0,0,,1319722879
68bdab655445f80314a0d2531e60e3b2e4d8fa17,1,0,0,4,0,6,0.195281782,0.190226549,0.066889632,1020,2.430898717,33,2,0,0,,1319732778
d1823db0509fe49b0ce8140c620e4c5100427407,1,0,0,4,3.747694444,2,0.030612245,0.006493506,0.016722408,1040,1.737386664,14,1,0,0,,1319734414
ea616470cfbd129bb03098698a562e1b8dd8ecc4,1,0,0,3,17.34253086,3,0.011235955,0.001872659,0.010033445,315,1.556656707,10,1,0,0,,1319735571
dc5f5d223502b8bc9ef6bc3706f3bbea975e757e,1,0,0,3,196.4955384,3,0.06634416,0.209859479,0.122033898,438,3.700380521,16,2,0,0,,1319809003
978c0e13dd5896494f306ec2afed026caa9993b0,1,0,0,4,24.79270062,3,0.094736842,0.014736842,0.010169492,267,1.196731843,14,1,0,0,,1320400829
e7184063b0fa20fbbb9802863143a11183858656,1,0,0,3,23.85552414,5,0.042360061,0.057488654,0.023728814,146,2.515183126,5,5,0,0,,1320402274
c17dfb9aa2aeb6d3d1c6fa934dc9ef15bf6b5bc2,1,0,0,4,31.80176505,3,0.125109361,0.009623797,0.013559322,640,1.527336176,14,1,0,0,,1320403604
2ea2fd09f2bbbea18e183c8af8e82e81eee9fe79,1,0,0,3,9.805263889,2,0.030474041,0.016930023,0.016949153,390,1.712662225,5,1,0,0,,1320775098
6e3b195d16ef4b24618d7bb13b3eede6b9126e74,1,0,0,3,8.953321759,2,0.117907148,0.003684598,0.016949153,472,0.918018617,6,1,0,0,,1320775789
cc467bd5880c2879e6c0355469d51759f89bbabc,1,0,0,4,0,5,0.309468822,0.047344111,0.016891892,834,1.305519672,15,2,0,0,,1321007059
75dbf699b90dd01b0dd44e4bdda60e7176b3ee12,1,0,0,4,0,4,0.405376344,0.260215054,0.016891892,774,1.609136585,16,1,0,0,,1321382578
64411b9af4eede947f0cf0fd46da4d3170ec18e4,1,0,0,3,4.347384259,1,0.018867925,0,0.003378378,106,0,0,0,0,0,,1321382673
4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180,1,0,0,4,0,12,0.102986858,0.015412186,0.093959732,900,3.532088115,27,2,0,0,,1321459552
4be547c861f024e48a7b0074effb8c26ff0a97fc,1,0,0,4,0.08,1,0.250555967,0,0.010033445,990,0.885715688,14,1,0,0,,1321466464
b83d00086a263af5b51e3e061170934c53447976,1,0,0,4,47.82346065,2,0.042519685,0.003937008,0.010033445,990,0.860864118,9,2,0,0,,1321518450
304bf8fe61bd545072d09c7089d8b92fc3c2f1d3,1,0,0,4,15.46820216,3,0.02372035,0.001248439,0.010033445,504,1.360964047,8,1,0,0,,1321520376
3969ff71a1865b5b8c32b60ac529999c6de71ab8,1,0,0,4,53.12608253,14,0.020550552,0.010486701,0.327759197,1041,6.150684326,68,4,0,0,,1321524992
03e03c2b4a0eb0266cad4eb5e34099100629425e,1,0,0,3,0.155497685,1,0.039351852,0.002314815,0.010033445,195,1.392147224,2,2,0,0,,1321538427
e14618559769b7f3fa68360a4571a84392e162e3,1,0,0,3,29.9677538,5,0.109014291,0.085745694,0.102990033,694,2.856939122,31,2,0,0,,1321565929
4049d4c2b115f81008ef7a3920fd9153ced2f53c,1,0,0,4,0,9,0.107675659,0.019169823,0.14379085,1041,4.223667765,47,3,0,0,,1321611485
4afc000c193174857925f357a32950ab743490bc,1,0,0,3,0.348055556,2,0.351002865,0.017191977,0.013029316,207,0.935600409,17,1,0,0,,1321612726
d33f843a67ad8bc73367259c78170c0bfab24cdc,1,0,0,4,0.320304784,2,0.026352288,0.023578363,0.009771987,378,1.194173734,8,1,0,0,,1321639573
aed845b574b88abc825634d3c860dcfd40351fb8,1,0,0,4,0.198773148,2,0.028790787,0.001919386,0.006514658,393,0.543564443,8,1,0,0,,1321642703
