commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
1d6568674ba2205448500ab134778e990aa69c96,1,0,0,1,0,0,0.993736952,0.993736952,0.003020008,299,2.251159212,18,2,1169377909,0,0,
c4b528b30a0e284ff69f93b43527aecf5cd3d6d6,1,0,0,1,0,0,0.990357016,0.990357016,1.189127973,1683,10.92144498,330,2,1169378013,0,1,CAY-786
e463112fce75abc74ea500709c109f7a21abb1c0,1,0,0,1,0,0,0.981088679,0.981088679,0.031710079,441,5.897471642,50,2,1169378046,0,0,
6f8365b78de6c5dca83a9b2f54a119072e9c8e76,1,0,0,1,0,0,0.989324183,0.989324183,0.145715364,1277,7.830389046,80,2,1169378078,0,0,
40a7a4de6e2fb51c76b18194a0317d26ea27a9a8,1,0,0,1,0,0,0.99687011,0.99687011,0.002265006,519,1.849795051,14,2,1169378132,0,0,
4b45e9bc68ff76bf0730407541224a5fece5cb2b,1,0,0,1,0,0,0,0,0.000377644,0,0,1,1,1169378151,0,0,
56d93dcdec85240157a95d418722ce974f4f7e26,1,0,0,2,0,1,0.991797233,0.991797233,0.266616314,1413,8.910823085,96,2,1169378221,0,1,CAY-1240
4be70572844f3fa9b18971ab278371bbc423b192,1,0,0,1,0,0,0.961881712,0.961881712,0.072507553,307,6.963383408,198,2,1169378293,0,0,
7319d6af13895e2ed436e000aac909a66466435b,1,0,0,0,0,0,0,0,0,0,0,0,0,1169378332,0,0,
a9c48f8f0c830e0328e7c6dd86c8320b1f7b688c,1,0,0,1,0,0,0.991043307,0.991043307,0.208459215,293,8.369966078,355,2,1169378388,0,0,
b0ec0470d94897a0d88953d81b9886b64637bb6d,1,0,0,1,0,0,0.927140255,0.927140255,0.014350453,254,4.667136612,26,2,1169378424,0,0,
0e48658056deae4141d79f920266fa51092619e6,1,0,0,1,0,0,0.957712638,0.957712638,0.024169184,254,5.473933937,42,2,1169378460,0,0,
d3d41b00d988734e0b1d812f1cc0d9436212ffe7,1,0,0,0,0,0,0,0,0,0,0,0,0,1169378481,0,0,
874e62478377638c66a3cc6a1ef5cdba2b3e3132,1,0,0,1,0,0,0.082287308,0.044630404,0.000377644,717,0,0,0,1169379510,0,0,
bc233eac48e26387f256731229195c1f85522bc5,1,0,0,1,0.006296296,1,0.20233463,0.20233463,0.001510574,717,0.772525924,3,1,1169380054,1,0,
f6786007caf4cb9606cfcb32456c6e94fbc02e8f,1,0,0,1,0.024749228,3,0.007317073,0.007317073,0.001888218,267,2.251629167,7,2,1169380316,0,0,
852294684c46eeb71ee4fbeb022210ce909c2fe2,1,0,0,1,0.00385706,2,0.008496177,0.007646559,0.003398792,267,3.090032777,10,3,1169380551,0,0,
8e260e9a2cdfd6786c11ca24a4c122211a786b33,1,0,0,1,0.042407407,1,0.733333333,1.366666667,0.000377644,90,0,2,1,1169381573,0,0,
11f9b396a93db56377d4d4bb268811de3d548564,1,0,0,1,0.042341821,6,0.343175853,0.342519685,0.00641994,299,3.020605367,25,1,1169383025,1,0,
929424d2af98e8eacb1669d675559c48f42bf83e,1,0,0,1,0.065115741,1,0.040268456,0.042505593,0.002265861,83,2.555917975,6,1,1169383919,0,0,
c628196193dbcc3608968168e5cfaa2731e3c2d0,1,0,0,1,0.043113426,1,0.003745318,0.003745318,0.000377644,267,0,2,1,1169384276,0,0,
3c70437e1a0c8f59f21211746ef44697516e06e2,1,0,0,1,0,0,0.07082153,0.09631728,0.001888218,89,2.218383152,5,1,1169384759,0,0,
529cc85c5ac9ff585d1d6b89f9c5830ffae29053,1,0,0,1,0.056423611,7,0.097378277,0.016853933,0.003020008,268,1.745309196,8,4,1169385839,0,0,
623365116e8906e437e1948b947ae2db5d94020c,1,0,0,1,0,0,0.024691358,0.024691358,0.000755002,243,0.543564443,4,1,1169386089,0,0,
06ce29b218834bc2f270941002072f8f83f7c830,1,0,0,1,0.068900463,2,0.219330855,0.044609665,0.001132075,163,0.810649374,10,1,1169386576,0,0,
18fae2c370906151c58ba619c9e0293cca7b64ac,1,0,0,1,0.040006944,2,0.001605136,0.036918138,0.001886792,246,1.545193611,7,2,1169387522,0,0,
20dd395635b3603865271557566c4c1fd4b2959c,1,0,0,1,1.097685185,1,0,0.004987531,0.000377358,401,0,9,1,1169472853,0,0,
9e05905ecafb839438b5b2bf49821a68b663ad4d,1,0,0,1,3.081412037,1,0.234975636,0.001082837,0.002260739,1119,2.40473909,15,1,1169644247,0,0,
a795d69a890baa98738ba32aa3bca3123552c90f,1,0,0,1,3.100023148,1,0.393258427,0.157303371,0.00037679,89,0,5,1,1169646230,0,0,
1facdb82019db6f79ccb45f215f51bb883d177b1,1,0,0,1,2.717209201,2,0.029008232,0.012936103,0.003014318,1706,2.484276624,21,2,1169646307,0,0,
4c799927d0e9e0ec71ab489b956550f4657ac47e,1,0,0,1,3.879112103,2,0.152154793,0.038170624,0.007518797,1158,2.755814952,23,1,1169732185,0,0,
63189efb5f953deae584064836fdbd2fd1884608,1,0,0,1,4.099664352,1,0.337883959,0,0.001126972,202,1.345671198,11,1,1169732224,0,0,
707dcc4114a2f1fbaa9d0050f976a4ddd8b7f5d0,1,0,0,1,0.996319444,1,0.011111111,0.011111111,0.000375657,90,0,5,1,1169732389,1,0,
0d234e2df77ca2067695faadf00939bffd766bb4,1,0,0,1,7.092154225,3,0.094708995,0.046031746,0.003005259,783,2.401152164,19,1,1170079323,0,0,
2143ec37c052833d8151678d25a38232deadc290,1,0,0,1,4.031365741,1,0.05316092,0.04454023,0.000375657,696,0,9,1,1170080495,0,0,
23dbd954583b7722bae6f8c07f745f1612a26578,1,0,0,1,10.11431713,2,0.00591133,0.001970443,0.000751315,716,0.954434003,10,1,1170252943,0,0,
8009f86e337f2cd7d7c070cc0d1da0ced5148cdd,1,0,0,1,0.005578704,1,0.001396648,0.001396648,0.000375657,716,0,0,0,1170253425,0,0,
740c7701847f7dbfc9853da91c3a6d79c80ba972,1,0,0,1,10.2175,1,0.042918455,0.072961373,0.000375657,233,0,10,1,1170260870,0,0,
3bc980e999a0364bf2d68c7d27a2ad1f6c2cb244,1,0,0,1,0.000763889,1,0.012765957,0.004255319,0.000375657,235,0,10,1,1170260936,0,0,
599ad4eb4bfd3e742663a4a676fe49370f599fc0,1,0,0,1,6.847962963,3,0.069580731,0.009812667,0.001502065,730,1.672560383,20,1,1170263543,0,0,
71ba609f0a962fa10832629cce6e72fc134346d4,1,0,0,1,12.59782615,3,0.617596461,0.649053822,0.023308271,368,5.238387238,27,1,1170511600,0,0,
7616254e033a1f11c69bb9e674f95957ac35e0af,1,0,0,1,13.12021991,1,0.024390244,0.024390244,0.00037594,41,0,10,1,1170511880,0,0,
17367371105b400aee629c2b1f8fb64ad6dddb4d,1,0,0,1,8.749760802,2,0.242424242,0.390029326,0.005267118,405,3.544871568,20,1,1170511898,0,0,
a3c48fd12015844b404c91016bfa21cff67e99f4,1,0,0,1,0.009761905,2,0.100729927,0.170072993,0.00263455,482,1.722974865,17,1,1170512486,0,0,
f4c6d0e666c63b6153cdfac1f2c85a32aa07e7b4,1,0,0,1,0.020266204,1,0.024390244,0.024390244,0.000376364,41,0,10,1,1170513631,0,0,
8547edc47e130148bf45df1475f778fb7fc00b7d,1,0,0,1,0.019131944,3,0.376826722,0.372651357,0.007903651,485,3.509487346,18,1,1170513654,0,0,
872ad99395820eefaa90a5daafb797c5754e589b,1,0,0,1,0.026006944,1,0.014106583,0.014106583,0.001505457,299,1.891061112,9,1,1170513847,0,0,
dcb615ebd8a7349d44fc3ad5c4203e5fba765d58,1,0,0,1,3.500150463,6,0.480365297,0.417808219,0.006019564,518,3.516947935,16,1,1170588674,0,0,
89a8ee9347aaefe991b514232191a6d98e16af97,1,0,0,1,3.773344907,1,0.008152174,0,0.000376223,736,0,0,0,1170589560,0,0,
5d95eb2ff68fbe721905691e413542d54abd0641,1,0,0,1,14.01841435,1,0.015873016,0,0.000376223,63,0,6,1,1170589579,0,0,
