commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
b3f0e1c8510ee3e3c5d06393a6d2c1dc3a90bc02,1,0,0,1,0,0,0.888888889,0,1,9,0,0,0,1046309253,0,0,
e0c51e82a479ad9096e8cb0396647a117a495faf,1,0,0,2,0,1,0.993522451,0,1.006062903,9618,10.19611622,779,4,1047168706,0,0,
55211249dcd92d5e20fe56716b8f7c8279199cfd,1,0,0,1,0.005821759,1,0.001831502,0.000457875,0.000378931,2184,0,0,0,1047169209,0,0,
63d8a6a715a2a9db5ae8410390460ff90dd6358a,1,0,0,1,0.012824074,1,0.001338688,0.001338688,0.000378931,747,0,0,0,1047169814,0,0,
6962454e46782560726bc4acf094ac1b78a94c01,1,0,0,2,0.102824074,1,0.002677376,0.002677376,0.000378931,747,0,0,0,1047178698,0,0,
dc5b3ccc45f071d21633df5e72a9a8655ba36bff,1,0,0,2,0.003020833,1,0.001338688,0.001338688,0.000378931,747,0,0,0,1047178959,0,0,
bc679e98454e1518d3dc4bc4368c28eae41b46a1,1,0,0,2,0.00181713,1,0,0.001340483,0.000378931,746,0,0,0,1047179116,0,0,
ca18cb50c9e65995814826ca6244fd9666b1a15f,1,0,0,2,0.851898148,1,0.006006006,0.001501502,0.000378931,666,0,7,1,1047242310,1,0,
7c47362b63f106576e6000ebdb680a88a6626e0d,1,0,0,2,1.376030093,1,0.004366812,0.004366812,0.000378931,229,0,5,1,1047287595,0,0,
1af76f8f0378e0b5e767a1dfcfb652aef37e62eb,1,0,0,2,1.424884259,1,0.006443299,0.364690722,0.001516875,668,1.207891605,9,1,1047291816,0,0,
350403d6cb85169cd7e33f73c3c34fdbb69c9cfd,1,0,0,2,0.725277778,2,0.035714286,0.034632035,0.001516875,669,1.151128469,5,1,1047292925,0,0,
6e5493fa4c5380cff985b03e520ca6b8d037ef9d,1,0,0,2,1.456956019,1,0.003952569,0.003952569,0.000379219,253,0,2,1,1047294587,0,0,
b340f3dace781c1af9356c3228e85fd037aaa815,1,0,0,3,0.60712963,1,0.00753012,0.010542169,0.000379219,664,0,7,1,1047294766,1,0,
e00d74a7b45eb83fa87b07d4f9145d2b5a221da0,1,0,0,2,1.482071759,1,0.046989721,0.001468429,0.001136364,1302,0.439496987,9,2,1047296757,1,0,
906275a754551e5b0d0e19fea0eb5f3da37aea63,1,0,0,2,1.491400463,1,0.083333333,0.083333333,0.000378788,12,0,4,1,1047297563,0,0,
