commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
5985825c1db49a01d40ae5bca48728f5071ecd97,1,0,0,1,0,0,0.032258065,0.032258065,0.010638298,31,0,0,0,1310673619,0,0,
254d494ee60998ea5164845350403bb54b65a244,1,0,0,1,0.003321759,1,0.311111111,0,0.010638298,45,0,0,0,1310673906,0,0,
8c8c630db48e48fbbbdc589f207f308d2b588fd6,1,0,0,1,0.473333333,1,0.985332362,0.976178092,1.939393939,540,6.960007326,78,4,1310714802,0,0,
9e503daa8ebd9b421323fc6d5b6b641ed49d612a,1,0,0,0,0,0,0,0,0,0,0,0,0,1310714973,0,0,
4beba63dabfafc96ebd1cc12ff7161615116f708,1,0,0,1,0.018576389,1,0.182515057,0.180142362,0.828282828,541,6.056740501,35,3,1310716407,0,0,
94009ad6590badf9fc1427ada7f54710d75d58db,1,0,0,0,0,0,0,0,0,0,0,0,0,1310716463,0,0,
817b5f2e6669c571d2e27c1e5b022657438f50dc,1,0,0,1,0.423368056,2,0.235091743,0.008027523,0.04950495,386,1.921231698,18,1,1310751916,0,0,
9f96dc15b025924fa471f43c3c4222283b1d3f2c,1,0,0,1,0.123628472,2,0.088541667,0.052083333,0.049019608,361,1.652121155,18,1,1310753319,0,0,
df0666cd16aae3e0027c8fe11d9b6900386bae8b,1,0,0,1,0.013310185,1,0.131516588,0.014218009,0.039215686,383,1.666939053,18,1,1310754469,0,0,
108d1424eb07c4a4a55f8135354a0ff22978fb86,1,0,0,1,0.054502315,2,0.270833333,0.035714286,0.029411765,168,0.681299568,10,1,1310758327,0,0,
1210055007a144e6b7f7e384afa26d0aa5031821,1,0,0,1,0,0,0.966666667,0,0.009708738,30,0,0,0,1310762914,0,0,
f886a122f028b5452870caf6d04d207335a174c2,1,0,0,1,0.00037037,1,0.966666667,0.966666667,0.019417476,30,1,0,0,1310762946,0,0,
1139f58816195c4d8fc8ddc14f12b0d943ca9142,1,0,0,1,0.561793981,1,0.10075188,0.1,0.077669903,237,2.969892218,9,1,1310764946,0,0,
841a1f24c2ff9d294121159fb930aa732f59b679,1,0,0,1,5.401944444,1,0.212121212,0,0.009708738,66,0,0,0,1311181530,0,0,
d56f64d8282d833b4e417357b207e4ed7de8a214,1,0,0,1,4.054224537,2,0.061946903,0.079646018,0.038834951,64,1.905639062,3,3,1311181769,0,0,
ffcd3616f761620664c379d4d75e3aac3beb0f49,1,0,0,1,5.79E-05,1,0.053097345,0.053097345,0.038834951,64,1.918295834,3,3,1311181774,0,0,
3f7c1bc119754329cd2a84f07a9c68c7ebe6f613,1,0,0,1,0.018622685,1,0.119402985,0.074626866,0.009708738,67,0,0,0,1311183383,0,0,
0373348a424ade0ab24fb4a35cd59c0ae32ed8f3,1,0,0,1,0.014916088,2,0.051724138,0.051724138,0.038834951,67,1.918295834,3,3,1311183465,0,0,
6307386b822241793ee61e0365d1c11524fae25a,1,0,0,1,9.26E-05,1,0.051724138,0.051724138,0.038834951,67,1.918295834,3,3,1311183473,0,0,
62549cd90edef56bdcde30570d993f23f69e8b8c,1,0,0,1,0.006296296,1,0.014925373,0.014925373,0.009708738,67,0,0,0,1311184017,0,0,
b7d57def54ab0193ec1a5233af252d1b642e24f1,1,0,0,1,0.005671296,2,0.051724138,0.051724138,0.038834951,67,1.918295834,3,3,1311184099,0,0,
444b21d5655ab5d2cf1e58f6f8dbb584f42f9fb4,1,0,0,1,5.79E-05,1,0.051724138,0.051724138,0.038834951,67,1.918295834,3,3,1311184104,0,0,
cf7399df1a8ab6335c57a8a0e512245b3a8c4053,1,0,0,1,5.139758193,8,0.983691329,0.983691329,1.970873786,541,7.024724111,110,6,1311184690,0,0,
bfd14213b37fb692f37509ddfba62897b4731b1a,1,0,0,1,0.000821759,1,0.051724138,0.051724138,0.038834951,67,1.918295834,3,3,1311184761,0,0,
53e46112fafe36f7d8cc23d101a0c1ed38982d83,1,0,0,1,4.63E-05,1,0.051724138,0.051724138,0.038834951,67,1.918295834,3,3,1311184765,0,0,
cbcc0f1b06d3542dc7d373c30f06a32e84430472,1,0,0,1,1.250752315,1,0.238636364,0,0.009708738,88,0,0,0,1311292830,0,0,
c4a4ceed7d4ed95a51a0df2c62b8f078514072b1,1,0,0,1,0.939441551,2,0.04379562,0.04379562,0.038834951,88,1.918295834,3,3,1311292949,0,0,
a23e5e4d94ddd315bbe0b9804eb64d5961a3c36a,1,0,0,1,4.63E-05,1,0.04379562,0.04379562,0.038834951,88,1.918295834,3,3,1311292953,0,0,
8adb811776a95af513de2a80457fc5dcdb431e99,1,0,0,1,2.138703704,1,0.822393822,0.601351351,0.102803738,266,2.844006948,21,1,1311369474,0,0,
53ba3b214511283d131e28058d0d3131f4ef58bc,1,0,0,1,0.003703704,1,0.098143236,0.01061008,0.018691589,238,0.801469893,10,1,1311369794,0,0,
bf8d9f4d65ca6030d704a707f30f9312be2c75e4,1,0,0,1,0.015420525,2,0.335793358,0.033210332,0.028301887,144,0.816938234,18,1,1311370913,0,0,
aae11c3abdda67e15a48fcd375adc71745c0614a,1,0,0,1,0.020347222,1,0.434977578,0.004484305,0.009433962,223,0,10,1,1311372671,0,0,
0113de96e229e09b4ad7cf5f59ea1ee6ca54fc13,1,0,0,1,0.923576389,1,0.04379562,0.04379562,0.037735849,88,1.918295834,3,3,1311372750,0,0,
86aa4f46d8126761e457c34c5d9b26eb69236afd,1,0,0,1,5.79E-05,1,0.04379562,0.04379562,0.037735849,88,1.918295834,3,3,1311372755,0,0,
ca684f649b2568a310a8bd4f60fcfe82c7ba986d,1,0,0,1,0,0,0.985981308,0,0.027522936,203,0.254331205,0,0,1311373713,0,0,
9462c74e2490f997f60b1801245d9c20341b3f69,1,0,0,1,7.128321759,1,0.283977901,0.087292818,0.036363636,504,1.809072601,18,1,1311800577,0,0,
d261c1e1e685203174b844a78194efa501d7a4f4,1,0,0,1,4.954652778,1,0.04379562,0.04379562,0.036363636,88,1.918295834,3,3,1311800837,0,0,
ba32a59bd4758891352635dd894cb16b4a3850d2,1,0,0,1,5.79E-05,1,0.04379562,0.04379562,0.036363636,88,1.918295834,3,3,1311800842,0,0,
6a67eaf8b2794ec33191556a9d9237860c3d4dce,1,0,0,1,0.002418981,1,0.04379562,0.04379562,0.036363636,88,1.918295834,3,3,1311801051,0,0,
2c79aea143f697a8e7cff1b4cd7b2c9947e4e7c1,1,0,0,1,5.79E-05,1,0.04379562,0.04379562,0.036363636,88,1.918295834,3,3,1311801056,0,0,
f4d41e42060823d93f9159fa873b10ec52522f06,1,0,0,1,7.937254051,4,0.008295626,0,0.036363636,542,1.277613437,20,2,1312224728,0,0,
40274820e5a4a4325c00e681bb11cf91c5209ef6,1,0,0,1,3.67880787,2,0.04137931,0.04137931,0.036363636,96,1.918295834,3,3,1312224823,0,0,
2f74f9500bf3de9b750bd99f0b5a3515fe9570f6,1,0,0,1,4.63E-05,1,0.04137931,0.04137931,0.036363636,96,1.918295834,3,3,1312224827,0,0,
9b68cbc4a7f35cd3dcf79692f499b00742cd8999,1,0,0,1,18.84402778,1,0.087136929,0.074688797,0.009090909,241,0,10,1,1312997918,0,0,
156b3d630f0883b1db6dd4b99d8b0434c73e795e,1,0,0,1,11.4581875,2,0.792710706,0.010250569,0.094827586,260,2.453093211,27,3,1313006787,0,0,
6971b57a6f553321c70b7a3e30301994c57ba5b8,1,0,0,1,0.00099537,1,0.039473684,0.039473684,0.034482759,103,1.918295834,3,3,1313006873,1,0,
6001e046718cd0f9c2dcd22d2408319bcf2ae271,1,0,0,1,0.001203704,1,0.039473684,0.039473684,0.034482759,103,1.918295834,3,3,1313006977,0,0,
06262457757736ec6cde6ac8739d40f18ff92f95,1,0,0,1,5.79E-05,1,0.039473684,0.039473684,0.034482759,103,1.918295834,3,3,1313006982,0,0,
ef4691e33dd447f469f6afeaf8b448c7e344c4b9,1,0,0,1,0.042696759,1,0.331884058,0.008695652,0.050420168,265,1.964254667,18,1,1313010476,0,0,
df182fab0a787d712c81fda5af852ac8ed07100d,1,0,0,1,0.041782407,1,0.039473684,0.039473684,0.033613445,103,1.918295834,3,3,1313010592,0,0,
328aa5d4f05c6a4d5b0550d8a0117ff91437ec9f,1,0,0,1,4.63E-05,1,0.039473684,0.039473684,0.033613445,103,1.918295834,3,3,1313010596,0,0,
