commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
95e7b46943f64284752472e55efb29f9715c3986,1,0,0,2,0,1,0.994786375,0,1,11509,9.369205419,121,2,1093529626,0,1,DERBY-57
c7d0ecf0d4bc9066446b870bdc828ddbb4c8213c,1,0,0,1,0,0,0.995073892,0,0.000729395,203,0,0,0,1093648000,0,0,
42261f87b218cdd63d8e8b311d528e5efe326c5b,1,0,0,2,28.10087963,1,0.119665895,0.115117433,0.007293946,5034,1.276785892,31,1,1095957542,0,0,
d2a30a0737187e912c1baf7e640ceca94180838f,1,0,0,2,0.014490741,1,0.003318777,0.008122271,0.006564551,5034,2.403433828,31,1,1095958794,0,0,
eac036999fab0e9f9509022d833a1c99cad1b415,1,0,0,3,28.17187208,2,0.994801556,0.994801556,0.93654267,11509,9.270957056,118,2,1095975027,0,1,DERBY-1493
fe77ca5f4828833a331cc4890854c08ff51b03f9,1,0,0,2,28.45284722,2,0.994284195,0.994284195,0.059810357,2311,5.470014361,25,1,1096047200,0,1,DERBY-1
0a7339d4d276596583e6bb921186627ae5a6795d,1,0,0,2,3.577903164,3,0.005843682,0.00182615,0.004376368,5034,1.672997597,26,1,1096305510,0,0,
8a59b6cb1e686b828ca27226e400278f4509a0f0,1,0,0,2,3.839641204,1,0.05015674,0.05015674,0.000729395,319,0,8,1,1096306772,0,0,
92b00e00875f2c710b45c009a0b78a3108c88c19,1,0,0,1,0,0,0.96969697,0,0.000728863,33,0,0,0,1096316275,0,0,
d78740a18630ddfb9743cee73677ed8f1a1170c1,1,0,0,3,4.984021991,2,0.061743341,0.082324455,0.001457726,765,0.444552234,3,1,1096570888,0,0,
d5c9f28c5e353dc79ff116bcddbcf7b930b68dd6,1,0,0,3,6.909965278,1,0,0.01010101,0.000728863,297,0,5,1,1096572048,0,0,
70c561e546f5fb11991085c6142fa546716fb281,1,0,0,3,6.926400463,1,0.000963391,0.002890173,0.000728863,1038,0,6,1,1096573468,0,0,
d97ef5532c1d4b77b16c8d378c2e889528094824,1,0,0,3,7.03224537,1,0.062146893,0.062146893,0.001457726,123,0.845350937,7,1,1096582613,0,0,
35cfb617856199e82d2992d5da048f3bed8d0b38,1,0,0,4,0.162094907,1,0.062576687,0.002453988,0.001456664,773,0.77170947,4,1,1096584893,0,0,
8507462dc67fea43649306419bd06edaec62d7d3,1,0,0,3,8.043310185,1,0.00159109,0.00159109,0.000728332,1257,0,6,1,1096669969,0,0,
44ccfc1336ecf05effdc771f619ba16a2864abec,1,0,0,4,1.206550926,1,0.002587322,0.002587322,0.000728332,773,0,0,0,1096689139,0,0,
92ee7b233f4daae7b061b9dd72eb2583e2235851,1,0,0,2,10.78144676,1,0.009592326,0.040767386,0.000728332,417,0,7,1,1096906544,0,0,
bff3c2ee9fcfbd72a6363793bce0dffa310519ed,1,0,0,2,10.16724372,3,0,0.001901864,0.01019665,1653,3.773557262,22,1,1096925169,0,0,
0641e2fe571ab1df326f2cd5bf293609fbfdd879,1,0,0,3,11.85383102,1,0.000817661,0.004905969,0.000728332,1223,0,8,1,1096999198,0,0,
482b71033cda0be425ecbae359652ad8a0ac7844,1,0,0,2,11.95196759,1,0.001675042,0.000558347,0.000728332,1791,0,7,1,1097007677,0,0,
99bc32ad6f7b82a741b922f956c2add346f12fab,1,0,0,3,12.03548611,1,0.057416268,0.004784689,0.000728332,209,0,8,1,1097014893,1,0,
688dd0bdfdc49a33812b2316e929ead73348ef3f,1,0,0,3,10.15678819,2,0.005027571,0.002919235,0.001456664,5039,0.642064289,9,1,1097017815,0,0,
276fd5179b4207f3be6a4e9f611f93b2d95e5587,1,0,0,3,12.09247685,1,0.008064516,0,0.000728332,372,0,9,1,1097019817,1,0,
89cd70bb00e2c7cbb8968053e433ef0baded0d5c,1,0,0,3,12.91086806,1,0.007942238,0.007942238,0.006554989,271,3.027169118,8,1,1097090526,1,0,
24e1c65bee93b77e02a2cd7019f8921656bd9d03,1,0,0,2,12.91761574,1,0.010989011,0.010989011,0.000728332,91,0,6,1,1097091109,0,0,
1461ebe991543a909170cd94a11c413bb8437484,1,0,0,3,12.54030671,2,0.021577883,0.010788941,0.001456664,1138,0.994984828,7,1,1097094596,1,1,DERBY-90
cfa2a959a704c18d66500a3dd597349f69f847ae,1,0,0,3,13.70106481,1,0.016483516,0.021978022,0.000728332,728,0,8,1,1097158799,0,0,
77dcad8d2b5d6de4481bc0d7ad4b49e8951a5976,1,0,0,2,13.78800926,1,0.014080693,0.016517736,0.001456664,1904,0.99315362,7,1,1097166311,0,0,
e1e80ad81d82c748de3029b92ba8e3599c3e20ce,1,0,0,2,10.86536458,2,0.002315761,0.008173273,0.002913328,9281,1.568371177,9,1,1097171957,0,1,DERBY-1
f10bebc5967b9973a3b2be2788d8426933bef4c2,1,0,0,2,10.00592593,1,0.886524823,0.003546099,0.000728332,282,0,0,0,1097180787,0,0,
f8e635809999cdf76b84a02deeaf6c77cb5adc3f,1,0,0,4,5.690949074,1,0.03379224,0.001251564,0.000728332,799,0,0,0,1097180837,0,0,
d1918165729d5a4c257639391ab27b4ede29e87a,1,0,0,3,18.8599537,1,0.00428449,0.001713796,0.000728332,2334,0,9,1,1097604527,1,0,
80a2c53569e764b908e33d4631943ff6708be60f,1,0,0,2,18.97159722,1,0.000173762,8.69E-05,0.000728332,11510,0,8,1,1097614173,0,0,
a52b2645fbe6bcc5c4e73dbf6bced269067fff39,1,0,0,2,19.9768287,1,0.047464503,0.020283976,0.001456664,2184,0.511190994,8,1,1097701025,1,1,DERBY-92
7de53826222b0135d1477ed946024d33be5c2989,1,0,0,3,20.1316088,1,0.1,0.1,0.000728332,10,0,3,1,1097714398,0,0,
def12a1ea3c422b7922e008db2a8eff391524c05,1,0,0,1,0,0,0.993589744,0,0.001454545,243,0.758987706,0,0,1097885792,0,0,
217667e9210977809342788a43cbdbbbc631961b,1,0,0,2,25.81591435,1,0.0018596,0.007438401,0.003636364,826,2.183383098,11,1,1098205522,1,0,
844190ccc54ce30757e221641539b4fefd9297af,1,0,0,3,13.08020833,1,0.010869565,0,0.000727273,736,0,8,1,1098288929,0,0,
abd7bc1f54c70ed669317bacb12f2a337c80286f,1,0,0,2,27.81587963,1,0,0.006403415,0.000727273,937,0,8,1,1098378319,1,0,
e23c6afa88aa3c46e9f93d96ef44efb9355ff261,1,0,0,2,27.41351273,2,0.002173913,0.002173913,0.001454545,529,1,13,1,1098379641,0,0,
7827676292a44b697edcc7811f832dbf93bf6198,1,0,0,2,27.91518519,1,0.018286814,0.00481232,0.001454545,527,0.650022422,7,1,1098386899,0,1,DERBY-1
4cf8dda2cb85dc4d5e622048ada8e92e84724f49,1,0,0,1,0,0,0.928571429,0,0.000726744,14,0,0,0,1098387133,0,0,
b201557c34876a1578a66f75a47c63c0cb66e38c,1,0,0,3,28.07707176,1,0,0.030911901,0.003633721,131,2.321928095,6,1,1098400886,0,0,
a2ecb05df8302afebc5e2e84b0d15dc38142a4b0,1,0,0,3,30.75825231,2,0.007722911,0.00093611,0.002180233,3458,1.41433241,13,1,1098742701,0,1,DERBY-13
3730fe6510f6ff1266709dec4f2334a861e33387,1,0,0,3,19.01512731,1,0.002340354,0.002006018,0.000726744,2991,0,7,1,1098814864,0,0,
a5bdbd4a57d93495228282dd1ecfc5417e446b4f,1,0,0,3,32.89516204,2,0.00065757,0.077182311,0.008739985,4618,2.633449705,17,1,1098904068,1,0,
24e020498f0ebbe569eefcc52ea59b1ec8eb3bc9,1,0,0,2,14.70806713,1,0.000915332,0.000457666,0.000728332,2185,0,8,1,1098971802,1,0,
d79abcf32a77e90643667b3a117c7e00356e920f,1,0,0,3,35.30974537,1,0.039283896,0.028169014,0.003641661,7160,1.235304852,7,1,1099025789,0,1,DERBY-32
a54b65775aeeab5f4359d67fa38ea8027c4293e2,1,0,0,3,3.095046296,1,0.008070757,0.000773908,0.001456664,7165,0.746234301,7,1,1099293201,0,1,DERBY-13
95dfbea6a7102420bee7d70d7ec08442a2427db8,1,0,0,2,41.92728009,1,0.002764977,0.035023041,0.000728332,1085,0,7,1,1099597544,0,0,
5f7e18fe70194732c42e9b82250cc226e14d7cf5,1,0,0,2,41.92908565,1,0.000859845,0.000859845,0.000728332,1163,0,8,1,1099597700,0,0,
fa1a0cc4c32d6e2b59ae58c08bbeafcd2e68aa6b,1,0,0,2,16.11458333,1,0,0.012195122,0.000728332,492,0,6,1,1099597822,0,0,
ffe8f709bd1b4974f4963fce3473cc4459f43552,1,0,0,3,23.04243056,1,8.69E-05,0,0.000728332,11511,0,8,1,1099605039,0,0,
1c535394f69395ea7d61053c78d4a57aa31a687d,1,0,0,4,33.37991319,3,0.000130676,0.001110748,0.002913328,11498,1.294995075,12,1,1099940290,0,0,
f91d2d5125f246ba45d7e355035520fac1939033,1,0,0,1,20.38467593,1,0.4,0.15,0.001455604,14,0.994030211,0,0,1100148369,1,0,
50d75f34e88eaa19d534f49626f13a958d0ca51f,1,0,0,3,48.31167824,1,0.00203252,0.013550136,0.002911208,722,1.933664938,5,1,1100149156,0,0,
141cd3115a43bf3e1858a7dbfe1b64a7b0e2346b,1,0,0,3,39.25337178,5,0.00025618,0.006062935,0.020378457,7161,4.783428173,8,1,1100149462,0,0,
a8ff4fd07fd054c8ea0b636a97dfec54485e6b21,1,0,0,3,44.92212269,7,0.000175701,0.022753228,0.036390102,1189,5.540834947,14,1,1100197324,0,0,
76addbc44a809b8f777229035b381a07f420e04d,1,0,0,4,47.62736654,5,0.00024628,0.013914828,0.116448326,2781,7.299085488,19,1,1100198313,0,0,
5d24b1a934ab3c2bc98dc2938dfe44ccf96a185c,1,0,0,5,47.62161969,10,0.000619663,0.020139037,0.173216885,1802,7.862105551,33,1,1100199449,0,0,
dc1300e1e2fef95e5d654575879e41d8c6772537,1,0,0,2,48.89403935,1,0,0.054852321,0.002183406,114,1.57662122,7,1,1100199472,0,0,
61070a6d0ff752b4d41eb750cb3dfcfc9a839f40,1,0,0,3,48.50518508,5,0.000107369,0.007870959,0.168122271,11493,7.834911955,11,1,1100203107,0,0,
9e5097f00312725345052deab728b332d5fd0c7d,1,0,0,3,48.48084099,4,2.65E-05,0.011073536,0.150655022,9277,7.690098967,11,1,1100203310,0,0,
1f9b9c45b15f81f5ad7c8eb342f9104c74714189,1,0,0,4,47.82637191,13,0.000191638,0.011069903,0.166666667,2986,7.818449027,31,1,1100203539,0,0,
c6ad5341a9998bd8a0fe4684207c90c7d8c65893,1,0,0,3,46.83411685,4,0,0.00740839,0.057496361,8876,6.291350306,10,1,1100203627,0,0,
4dede3b95c72cc209824e677470b7081728af43d,1,0,0,2,46.66186494,5,0.000398592,0.017936624,0.044395924,1402,5.904017669,14,1,1100204292,0,0,
9411e5147730094d9713df694a4a9b715553417c,1,0,0,4,35.13650463,1,0.002503129,0.002503129,0.000727802,799,0,0,0,1100216631,0,0,
