commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
86ce7a4c40cbb9e51cbb32e68e0756fb67861346,1,0,0,1,0,0,0.983193277,0,0.923076923,245,2.987596577,13,9,1322154062,0,0,
683a1e2d47e889a7df951d85f90f3b65939a4f6b,1,0,0,1,0,0,0.902912621,0,0.434782609,28,2.935564145,18,2,1322204463,0,0,
44e178d742832d9a757f48e6ea195ffda6c9cd9f,1,0,0,1,0.060799769,2,0.853543307,0.023622047,0.434782609,132,3.039703617,18,2,1322204676,0,0,
f2cd1c48f637fe1b05fe8a67ad5b112243af9fe3,1,1,1,2,0.167881944,1,0.276470588,0,0.043478261,170,0,8,1,1322219181,0,0,
dad2222fcf41bd9f328959b68a2df414ec48aa37,2,3,7,2,0.174837963,1,0.578125,0.03125,0.371428571,189,1.758961637,14,2,1322234287,0,0,
5eafc8a8f92410e2f2a0efbe18ed493b4bd8f6d5,3,0.166666667,0.071428571,2,0.34306713,1,0.172413793,0.011494253,0.028571429,87,0,1,1,1322234317,0,0,
5df8aec84baccf1c812073dd345063679c7cfee8,1,0,0,3,0.796099537,1,0.036082474,0.010309278,0.028571429,194,0,8,1,1322303070,0,0,
cc0caa2687a80c11cb55a60a2780366080827cd4,1,0,0,2,2.554618056,3,0.924418605,0.044275492,0.509803922,324,4.260394131,18,1,1322418134,1,0,
e3eb6da8d6610387fcaccb6c4aece2100cbcd151,1,0,0,3,0.389433201,6,0.366959064,3.442982456,1.76,124,4.672262034,34,2,1322403334,0,0,
157243e16e0216f649d003b560d1b79a45b4ba58,1,0,0,3,0.006319444,1,0.516339869,0.22875817,0.08,198,0.967788463,8,1,1322403880,0,0,
47f319ade70aa610d5d081f2309db6f13f236fc1,1,0,0,1,0.00912037,1,0.96969697,0.96969697,0.08,33,1,7,1,1322404122,0,0,
e203c131486754fbad8d273916ba68601008ebb6,1,0,0,2,0.182071759,1,0.924418605,0.044275492,0.634146341,324,4.260394131,18,1,1322419065,0,0,
d071e85811157d94c598ccb2e0aa441c0e17babb,1,0,0,3,0.207027392,3,0.903947904,0.006308506,1.074433657,296,6.438231749,113,11,1322424025,0,0,
6ba96c9520ef30b627768a70beb87aaf2cd3d30e,1,0,0,3,0.014988426,1,0.00245098,0.007352941,0.009708738,198,1.5,9,2,1322425320,0,0,
6cd0b1146a80657dc3cf9a718cc0e435adead0a6,1,0,0,2,0.792314815,1,0.03030303,0.03030303,0.003236246,33,0,7,1,1322472578,0,0,
a9dae49096fc97296010771ff009c9f9e680eb23,1,0,0,2,0.621678241,1,0.302491103,0.067615658,0.012820513,100,1.931823838,17,1,1322472778,0,0,
d9517e8b5c66913f6c3c01f5e7ceaf97872bb74e,1,0,0,3,0.567036534,2,0.458006719,4.10862262,3.356321839,220,6.059258329,111,10,1322473025,0,0,
3158eb208c9e29c2e6ca9648c6f8c10c758e78a0,1,0,0,1,0.573159722,1,0,0,0.071428571,0,2.283076008,9,1,1322473546,0,0,
b14cc37a11d28a96e3c0c24f17872227ceca535c,1,0,0,1,0.238668981,2,0,0,0.3125,0,2.905522955,4,1,1322474046,0,0,
5e74b82175c2a378cec1d654c48de495227c8239,1,0,0,2,0.050509259,1,0.03030303,0.03030303,0.015625,33,0,7,1,1322476942,1,0,
f683330ca8b7f38523ccebde49322a889807c19d,1,0,0,2,0.473058128,3,0.03030303,10.66666667,0.586956522,33,4.371637618,22,8,1322477746,0,0,
3dd5e3689c29c5d53a434d2ba5ac73235147a210,1,0,0,2,0.016805556,1,0.03030303,0.03030303,0.02173913,33,0,7,1,1322479198,0,0,
5c0d6febc75ec61fbf77c9fb1d11adc1881c6323,1,0,0,2,0.557229938,2,0.510948905,0.496350365,0.088888889,104,1.911275046,10,1,1322485114,0,0,
ff38b1fc68ec1e9021171ddea6b244b1382f189b,1,0,0,2,0.337039931,3,0.388888889,0.243386243,0.088888889,131,1.709154766,16,1,1322491554,0,0,
