commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
3b88e30924268799c96317fe1bf9f5b9c6bf6f80,1,2,1,1,0,0,0,2,2,1,0,0,0,1292428921,0,0,
eb6b141ba102f7a4e4a20c9c8c8ffdfe0d80b13e,1,1,1,2,0.411956019,1,0.5,0,1,2,0,0,0,1292464514,0,0,
86b95a064304f062e03632a1726dda2ed2bc1c35,2,0.25,0,2,0.002222222,1,0.333333333,0,1,3,0,0,0,1292464706,0,0,
e37e80464ee0308665fbe3e097fb9bcf621085f9,2,0.5,0,2,0.002650463,1,0.333333333,0.333333333,1,3,0,0,0,1292464935,0,0,
3a524adba47955f3eb1cf95bbe656d0449e7bf55,3,2,0,2,0.002256944,1,0,0,1,0,0,0,0,1292465130,0,0,
d94c5ee3d28e104441ee1bb1c75a9168a0fbff2e,4,0.25,0,2,0.000856481,1,0.5,0,1,2,0,0,0,1292465204,0,0,
0a26ac2a2859e997a4898781031db22a13761277,5,0,0,0,0,0,0,0,0,0,0,0,0,1292515299,0,0,
6654045d23e2923a56befbb87b64f85a00689b7a,1,1,1,3,20.74340278,1,0.333333333,0,1,3,0,0,0,1294257434,0,0,
e91190fa73030d239f0fbe9e0b50d32c538b74c7,2,427,188.5,1,0,0,0.9893407,0,1.001135074,4123,8.87329484,377,5,1294257444,0,1,FLINK-247
2494368325efe32590b25e2d1aa588fddc122391,3,0.005854801,0.013262599,3,0.000104167,2,0,0,0.005707763,0,1.638154141,5,1,1294257451,0,0,
033b03a76d7be4cdcac358e50f6f772ed5824c0c,4,85.4,0,1,0,0,0.909090909,0,0.001140251,11,0,0,0,1294257454,0,0,
816369425177cedc696f93b6daeedc31e601dd52,5,0.023419204,11.5,1,0.000162037,1,0.018372703,0.012467192,0.004561003,707,1.711077408,23,1,1294257458,1,0,
b843f1851c334bd6019fe50a29dd6e460183f69d,6,256.2,1.52173913,1,0.000193603,2,0.037953795,0.030115512,0.01368301,707,3.042479462,35,2,1294257462,0,0,
5cf06bdfb63382cef07b26db0a63045e0e3004de,7,0.0019516,3.285714286,1,0.00025463,1,0.017045455,0.014204545,0.001140251,352,0,10,1,1294257466,0,0,
290c6a92260ed47abf88f7c701b22fa25b633cbf,1,0,0,2,0.788506944,1,0.379746835,0,0.001140251,79,0,10,1,1294325571,0,0,
3d19b6c24b60bdb8147d1b9f04184cb56a5e74d7,1,0,0,2,0.804085648,1,0.314285714,0,0.001140251,35,0,10,1,1294326917,0,0,
d224c48e136ef290dbf40dee8e29b21032922a31,1,0,0,2,0.808726852,1,0.134146341,0.006097561,0.001140251,164,0,9,1,1294327318,0,0,
aa474b944204195ed363b0b7112f50ec2dfc572e,6,426,186,4,0,9,0.666666667,52287,880,3,8.872015135,372,4,1292515312,0,0,
f164e854d5b5368fc1850b5be42571d91fbb7200,7,0.001173709,0,3,0.000381944,1,0.25,0,1,4,0,0,0,1292515345,0,0,
1baf0785c8594fec4de6d201939130aa3c80fc48,8,426,0,3,0.000810185,1,0,0.333333333,1,3,0,0,0,1292515415,0,0,
e69f85deabebf50425381712c2d363189797a7bc,9,0.001173709,0,3,0.000717593,1,0,0.5,1,2,0,0,0,1292515477,0,0,
597523c941f850ee546c4cd0f0a07063259eb77a,10,426,0,3,0.009236111,1,0.333333333,0,1,3,0,0,0,1292516275,0,0,
e4b4adcfdc218bdead1d3bd95d9078ae00e31945,11,0.001173709,0,3,0.00693287,1,0.333333333,0.333333333,1,3,0,0,0,1292516874,0,0,
0b3faff6d5e2db00ac6a44d50c24236a4794ab4e,12,426,0,3,0.017951389,1,0.333333333,0.333333333,1,3,0,0,0,1292518425,0,0,
c6033261fa6619effbc4843c7cbcf3fc88738d54,13,0.001173709,0,3,0.003402778,1,0.333333333,0.333333333,1,3,0,0,0,1292518719,0,0,
75e67a701cbabe5577967037c0e865d1c2e9a25b,1,854,1,4,0,3,0.9893407,0,1.001135074,4123,8.87329484,377,5,1292522996,0,1,FLINK-278
d847b7a34c561d420fc703d9df3cf984c533128a,1,0,0,5,0.679356481,2,0,0,0.005707763,0,1.638154141,5,1,1292580837,0,0,
d6e20ba85ef0895e3a047ca78e557475535e3caf,1,0,0,3,0.961782407,1,0.909090909,0,0.001140251,11,0,0,0,1292598410,0,0,
62f30afabae369ce4a81e03457ee5999c59b9fb0,1,0,0,4,0.873078704,1,0.018372703,0.012467192,0.004561003,707,1.711077408,23,1,1292598430,1,0,
1dfad89e70b40f49ea724bf274ac2561d033a7d3,1,0,0,4,3.886946373,3,0.037953795,0.030115512,0.01368301,707,3.042479462,35,2,1292864474,0,0,
717a37751aa46a8fcd8b46ec5a0c92d7ac43198d,1,0,0,4,3.821482308,2,0.073973664,0.126646011,0.032036613,397,4.09369225,25,2,1292889759,0,0,
7ddfb16a047c6de2e8a7f7be6ac43bf66e248e39,1,0,0,1,0,0,0.989451477,0,0.005688282,150,2.130676564,11,1,1292889899,0,0,
ffbc7e177bca0a84d892514b138d6d208a87f64f,1,0,0,4,2.265022505,3,0.468742339,0.541063986,0.032954545,318,4.541175098,14,1,1293065089,1,0,
54ee5fa3d278fbfd4ee6850b6e20d04d0d10aea5,1,0,0,4,0.904224537,2,0.165628892,0.413864674,0.012557078,754,3.038508239,20,1,1293103091,0,0,
d0ceb1ea335e779c23a62e1f888bf35080d0d472,1,0,0,4,11.22855787,2,0.984924623,1.045226131,0.009153318,106,2.566326713,13,2,1293561439,0,0,
8804d5155db296e1064d0e61d149a9a0bba4a538,1,0,0,4,11.37571238,3,0.126898048,0.339479393,0.022883295,406,3.544597822,19,3,1293567110,0,0,
e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,1,0,0,4,12.08528935,1,0.091172214,0.018813314,0.005720824,286,1.131877412,25,2,1293567165,1,0,
fcf2afebfb123527f2a72be2392efb35c45ceb2a,1,0,0,4,12.12500741,2,0.013799448,0.012649494,0.028604119,1090,3.51826624,41,1,1293573614,1,0,
8e8644d0a5ec5f6be2756f7176979c643e89652d,1,0,0,5,14.40702494,5,0.837911259,0.067310595,0.024691358,352,4.004921046,39,3,1294347654,0,0,
