commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
a920ea2a0fd7b7be78622689cf6d8872fec073e5,1,0,0,1,0,0,0,0,1,1,0,0,0,1312300819,0,0,
62059109a428e13fb8133b7b54da4eb80240b392,1,0,0,1,0,0,0,0,0.5,1,0,0,0,1312301036,0,0,
31ecbbf79f6b9f2483a48bcdd6e81d0ff7ae594c,1,0,0,1,0,0,0.993055698,0,0.996343693,6797,7.908846809,154,6,1312301038,0,1,FLUME-593
a08e065c2214b5b0c60455a9839564729f746d09,1,0,0,1,1.16E-05,1,0.089423513,0.091239219,0.009157509,2994,1.774111047,9,1,1312301039,0,0,
b999589da85ea8761e5e7a739c41dd281ebbafd3,1,0,0,1,1.16E-05,1,0.331916401,0.010626993,0.023636364,483,2.317218112,13,1,1312301039,1,1,FLUME-1
44b628f41df75b9c53a09eaa53d9f5b627deaba4,1,0,0,1,2.31E-05,1,0.024539877,0.006134969,0.003636364,113,0.721928095,7,1,1312301040,0,1,FLUME-1
2d4891dec7a640167d5be3f8a32d3a8a1940e753,1,0,0,1,2.03E-05,2,0.017175573,0.002862595,0.007272727,484,1.58186266,9,1,1312301040,0,1,FLUME-1
99c8d59d1dbfc4bca4eaf7af6cac86bb9ac9e5d3,1,0,0,1,2.31E-05,1,0.002378121,0,0.001818182,841,0,0,0,1312301040,0,0,
7938d2f16ba212f26ad59ff8e5cc7181be43f2e9,1,0,0,1,2.31E-05,1,0.076335878,0.099236641,0.001818182,131,0,7,1,1312301040,0,0,
0d57e65d61baa7964e72da79a3b2868e8fd17c56,1,0,0,1,0,1,0.001187648,0,0.001818182,842,0,0,0,1312301040,0,0,
d179043c2cbc48c131907a3633513b5708c65283,1,0,0,1,1.16E-05,1,0.022118743,0.002328289,0.001818182,859,0,0,0,1312301041,0,0,
94555dbc793dffd4c67d4533406aa24644dfbcd6,1,0,0,1,3.47E-05,1,0.031746032,0.015873016,0.001818182,63,0,7,1,1312301041,0,0,
005888cce1029d53fa9f8359dfaa341d889f3057,1,0,0,1,2.55E-05,2,0.011854476,0.001226325,0.009090909,2994,0.908154912,9,1,1312301041,0,1,FLUME-2
3ffe9b43290efd485e865d647e61ae7aace2f55e,1,0,0,1,0,1,0.009259259,0.003472222,0.001818182,864,0,0,0,1312301041,0,0,
3752f54a5d52f545eb05462187815edaa96e8933,1,0,0,1,4.63E-05,1,0.053763441,0.002688172,0.003636364,458,0.453716339,7,1,1312301042,0,0,
5b19f1d6184fc5e86f6739846744e632d1308be3,1,0,0,1,4.21E-05,2,0.038999576,0.011869436,0.02,416,2.904395259,13,1,1312301042,0,1,FLUME-47
13fb7b577228ddbdf34350ff35ee20c3de07fa9c,1,0,0,1,4.00E-05,3,0.040231735,0.01995494,0.02,793,3.099346884,18,1,1312301042,0,1,FLUME-4
6d435838c9285021dcd2d57fa0b906d5014d5232,1,0,0,1,2.31E-05,3,0.462875197,0.001579779,0.01084991,484,1.660395659,13,1,1312301042,0,1,FLUME-2
10f91e143b91c53245b6c5022a0f61047ee519ab,1,0,0,1,5.79E-05,1,0.026022305,0.007434944,0.001808318,269,0,6,1,1312301043,0,0,
442165f2cd2537829065f1a8bf31cc66cde6d57c,1,0,0,1,4.34E-05,2,0.088752197,0.015817223,0.009025271,391,1.645263984,15,1,1312301043,1,1,FLUME-183
48ac27e5c1e40a07e477b5da0bac14371b4f6d67,1,0,0,1,2.31E-05,1,0.001157407,0.001157407,0.001805054,864,0,0,0,1312301043,0,0,
b4f5b6a76784509d9a6bb0141ace65a968f21d62,1,0,0,1,5.79E-05,1,0.165975104,0.136929461,0.003603604,240,0.104419078,0,0,1312301043,0,0,
9e07615ed4488b81e16a67d978c0b471cfac24f0,1,0,0,1,2.31E-05,1,0.006060606,0,0.001801802,165,0,6,1,1312301044,0,0,
980e8e5fae6fca326a6fa5bf8c080b9ffade2c3a,1,0,0,1,6.55E-05,4,0.036289704,0.00982047,0.117117117,887,5.24328097,38,1,1312301044,0,1,FLUME-745
28d230a9d0d4c9e20a4da9bf2deb328103b3b31f,1,0,0,1,5.79E-05,2,0.061240015,0.033853176,0.010810811,916,1.725353796,17,1,1312301045,1,1,FLUME-1
c22648960994211555570d9e62f6e38debcba090,1,0,0,1,4.31E-05,4,0.019483682,0.015099854,0.01981982,563,2.49131605,12,1,1312301045,0,1,FLUME-4
44cf843e8cd9999d6f17c8d19a1dc9a1b5d1d91c,1,0,0,1,8.10E-05,1,0.01369863,0.01369863,0.001801802,73,0,6,1,1312301045,0,0,
77fbbb2122ecb83eb2d4a8fbeaea0a77ce2b3817,1,0,0,1,7.62E-05,4,0.025445802,0.011821278,0.044964029,508,4.309221341,28,1,1312301046,0,1,FLUME-1
2d61286c64f240878ace2ba8735385cfd414a7a9,1,0,0,1,0,1,0.010067114,0,0.001798561,298,0,6,1,1312301046,1,0,
59cc81c1d6e6fe79d6b046d2e049746eaeedf24d,1,0,0,1,6.94E-05,2,0.072745902,0.006147541,0.003597122,520,0.922564137,11,1,1312301046,0,1,FLUME-2
47be1f8c83ebd26a090f55e1fd763dca93b3d824,1,0,0,1,6.78E-05,5,0.006558811,0.003935286,0.012589928,525,2.615748962,8,1,1312301047,0,1,FLUME-44
b8110ecb6d0f6f7c52809b436e8ae035d3791af0,1,0,0,1,0,1,0.011594203,0.002898551,0.001798561,345,0,7,1,1312301047,1,0,
d6c2a77b72c4611c9ca14e006d150636b916f879,1,0,0,1,8.49E-05,3,0.064093227,0.007283321,0.010791367,447,2.105027836,13,1,1312301047,0,1,FLUME-2
21a191f871bc62da80dbed1c929422d88fd7786a,1,0,0,1,0.000104167,1,0.040816327,0.020408163,0.001798561,49,0,7,1,1312301047,0,1,FLUME-1
b4f1303607f8321be0c04c97b3afc0c99eeedbfd,1,0,0,1,2.31E-05,1,0.02972028,0.013986014,0.001798561,572,0,6,1,1312301047,1,1,FLUME-68
00e70ddd07110090760e5cee40feac1aadeae395,1,0,0,1,0,0,0.976744186,0,0.001795332,43,0,0,0,1312301048,0,0,
055a8e84112e6bb44f048f7ed6fbdad390a0044b,1,0,0,1,5.02E-05,3,0.053420195,0.002605863,0.005385996,535,1.04571898,11,1,1312301048,0,0,
611d6f2b34b36721281084a114cf827dde1fb3a6,1,0,0,1,3.47E-05,1,0.003610108,0.003610108,0.001795332,277,0,6,1,1312301048,0,0,
14923f8ebec54571d9f5d4843c838b26d2c94246,1,0,0,1,0,1,0.017110266,0.001901141,0.001795332,526,0,6,1,1312301048,0,0,
5ba4a44667f0914d9d9f735ce029b7f908b56ce0,1,0,0,1,0,0,0.990338164,0,0.003577818,203,0.110145431,0,0,1312301049,0,0,
4b96898ccd93668abd71e56c205ca3b226b9f82e,1,0,0,1,0.000150463,1,0.976744186,0,0.001788909,43,0,0,0,1312301049,0,0,
5a4142d7ad8dc454c2d212a929e23cd6a6bb483b,1,0,0,1,0.000108025,2,0.094936709,0.079113924,0.005385996,948,1.317436555,1,1,1312301049,0,0,
f58cb5eb43769298fe14b942da2af022ed761da4,1,0,0,1,0,0,1,0,0.001792115,16,0,0,0,1312301049,0,0,
