commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
8e940693817a08d064e90352e2130effe3fd2c4c,1,0,0,1,0,0,0.071428571,0,0.005952381,14,0,0,0,1286578361,0,0,
acf57c062f4b3323dcc029ddba2756edb7838714,1,0,0,2,0,2,0.959780569,0.44455031,1.432432432,882,8.059537316,247,8,1286811622,0,1,GORA-270
64b79914345122f19719ee0c6811eb64f041f560,1,0,0,1,0.009085648,1,0,0,0.761904762,0,6.360495716,108,4,1286812407,0,0,
b524cebfca12dbf3a662695cce2843f66bdb5883,1,0,0,3,2.647002315,1,0.011235955,0.018726592,0.017857143,154,1.5,9,1,1287040323,0,0,
ef57501f6830245359e3ca290021fedf42a18b44,1,0,0,2,7.737060185,1,0.54558354,0.004611564,0.114754098,477,3.461216791,17,3,1287480104,0,0,
fe6f6007b43eb78386bd152a6c48098e0cee3cda,1,0,0,3,6.599506944,3,0.005673759,0.007092199,0.027322404,249,2.281036113,10,1,1287561256,0,0,
8867d0605aa01e02ed0e971cc63536353f0990a0,1,0,0,3,23.57466667,3,0.382258065,0.033870968,0.027322404,192,1.718975078,8,1,1289194067,0,0,
4207ddd67b427e308d75cdef250c1a28237125e9,1,0,0,2,0,3,0.109165808,0.041194645,0.043478261,346,2.247350555,21,1,1289195492,0,0,
6b79e8f43b6b934ed3902b005b179595dfea0814,1,0,0,1,19.87103009,1,0.059405941,0.059405941,0.005434783,101,0,4,1,1289196961,0,0,
4a831be2bfc1df53311885acdf58bf2be03f304f,1,0,0,2,29.72882523,2,0.074324324,0.006756757,0.02173913,221,1.598327019,11,1,1289976160,0,0,
9d16d94ca210eb1a5fafb1f37a3ecb063bd6310e,1,0,0,3,0,5,0.536316776,0.001405811,0.106060606,1186,2.665255089,35,5,1290484295,0,1,GORA-26
17e681ce2af93052f01cd6a0a014d7c4d326711c,1,0,0,1,0,0,0,0,0.02,1,0,7,1,1291168578,0,0,
4638c444368a8f028437018533fd38ca024403af,1,0,0,2,50.72634838,2,0.038461538,0.012820513,0.01,58,1,2,1,1293030715,0,0,
cdacd2965c86067fb37a4e335d0663c9b5f769b4,1,0,0,3,0,3,0.341772152,0.054852321,0.014925373,136,0.750712873,8,1,1294740354,0,1,GORA-23
a1b2d53c8bc5e6dd9d12604f98e442c9adf11ae7,1,0,0,1,0,0,0.987012987,0,0.004950495,77,0,0,0,1295594995,0,0,
41e87e0737b4fba8791de2b1656019c9f7891c02,1,0,0,1,0.016851852,1,0.467532468,0.467532468,0.004950495,77,0,0,0,1295596451,0,0,
abc97fedb0093a2d899d685451a75bcf56c9b967,1,0,0,4,0,4,0.232505643,0.056433409,0.024630542,182,1.760257624,8,1,1296117484,0,0,
7736a7b31dfbf8a306d7cf9520f82340044f491f,1,0,0,2,68.06534722,1,0.006147541,0,0.004926108,488,0,0,0,1296365141,0,0,
db7a73f3f69b617efb41bfe303f03d6133edf5d6,1,0,0,2,53.51144097,2,0.002352941,0.002352941,0.009852217,488,1,0,0,1296546011,0,0,
2214b2e4d9c8c0041b920527fbfeec92a4b3104c,1,0,0,2,105.8576582,3,0.045977011,0.517241379,0.014851485,59,0.474132766,11,2,1298825378,0,0,
74046a2fcdafad5a90e20a68ad4718f308156762,1,0,0,5,122.2011516,2,0.010088272,0.007566204,0.04,602,1.724407818,10,1,1299696267,0,0,
9edc6f8f065603c28d41245667eab9bc3dba8be7,1,0,0,2,64.84166667,1,0.004705882,0.004705882,0.01,488,1,0,0,1302148331,0,0,
810bc5c0de5afa10327aa84c9d57be0ac612542e,1,0,0,2,177.5121181,1,0.06122449,0,0.005,98,0,1,1,1302148669,1,0,
61b4a9e8a6182e0ca15ec9a8389935dd93fc31f3,1,0,0,4,28.39423611,1,0.166666667,0.033333333,0.005,30,0,0,0,1302149529,0,0,
33c02eb016e2902e639b11a3774b622f30fa6a8c,1,0,0,5,59.53027778,1,0.954721863,0,0.029268293,287,2.204572491,4,4,1307292945,1,0,
ee60cf08b83e24acd35831152fe5959743df8f89,1,0,0,1,0.097604167,1,0.027210884,0.003401361,0.004878049,294,0,0,0,1307301378,0,0,
