commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
c94ff0f240de583311c1bd73cf41d113ade75ebf,1,0,0,1,0,0,0.997211697,0,0.106598985,8972,2.236729165,3,3,1242707438,0,0,
abe7be913432053f6d419ea4ca4f9cd2be938bc7,1,0,0,1,0,0,0.999412364,0,0.224409449,52143,3.209379728,32,2,1242707756,0,0,
cab0a4bf543f58600ae8499f5b219a452f89c827,1,0,0,1,0,0,0.988952115,0,0.324432577,1269,6.709156274,54,1,1242708307,0,0,
c967cef4d3b82bf05f09ff03ff50243e0a81db26,1,0,0,1,0,0,0.995139441,0,0.236514523,21646,5.165455793,49,1,1242708827,0,0,
95a0db602b2e0606af11d666d9d10d64766f9ecf,1,0,0,1,0,0,0.989644777,0,0.036,981,4.197223578,16,1,1242709012,0,0,
ac670cc47f06b0eb880dcb5522a5aba187b5c67d,1,0,0,2,7.579604167,2,0.855929538,0.066939289,0.1160444,1460,6.313736055,38,3,1243362443,0,1,HADOOP-10
bd524bd9608fa6387623cfe492572722c0477470,1,0,0,2,8.411899056,2,0,0,0.055378062,0,5.111407882,21,1,1243435684,0,0,
a72da1135b3362b641f751afa2c93962bd9ac746,1,0,0,0,0,0,0,0,0,0,0,0,0,1243435836,0,0,
7e7fd2ce5b754c6398f8a326e5172d1e1b57c8e6,1,0,0,2,9.35674555,2,0.024480712,10.12166172,0.109691161,1348,6.324384753,30,1,1243522535,1,0,
c984f6c77e31cc288a131d877bfca9434e51fc68,1,0,0,2,3.635763889,1,0.960098639,0.000297106,0.00212766,32313,0.006487198,2,1,1243836665,0,0,
01d81f4e51c64d5b316d129b514fa6802770ead9,1,0,0,2,0.155046296,1,0.003728561,0.006711409,0.00106383,1341,0,0,0,1243850061,1,0,
bb957bd2cdf33271bec663cdc86b44009e66e6bb,1,0,0,2,13.46489583,1,0.005755396,0.004316547,0.00106383,695,0,3,1,1243872379,1,0,
5c7b7adacb47242fe4c82e982cb06e6276f6f862,1,0,0,1,0,0,0.001888376,0.004406211,0.004255319,3239,1.96559623,8,1,1243890616,0,0,
244380a885f5cd009fa16cb9a6774337eab52e1d,1,0,0,2,4.732530864,2,0.002466091,0.001233046,0.003191489,1343,1.584962501,7,1,1243933873,0,0,
74a4cc56e8f5084e621b279b2fcdf27c690cff7b,1,0,0,0,0,0,0,0,0,0,0,0,0,1243961289,0,0,
bcd64325a11cb0dd5096ffc093d0ffa68c4fcc58,1,0,0,2,21.59291667,3,0.095199529,0.037255191,0.039361702,2114,4.021958341,31,1,1245097686,0,1,HADOOP-962
c2226e068051dac097f6acff7b24b07c2e4555dc,1,0,0,1,0,0,0.967105263,0,0.005291005,50,2.119293243,2,1,1245098003,0,0,
c2d07b4fcd2d7e0c23fb65433f95eb673e42cf7b,1,0,0,1,28.68362269,1,0.029774794,0.001190992,0.001058201,9236,0,0,0,1245185703,0,0,
b12d765467fd9a4447c473d613d92883fb09c76b,1,0,0,2,8.374309414,3,0.006366401,0.000570125,0.004232804,9258,1.979743809,13,1,1245272151,0,0,
fb6308f280ad30a61757f988e21b424e64fce03f,1,0,0,1,2.095023148,1,0.010318949,0.000625391,0.003171247,9264,1.077252356,12,1,1245453161,0,0,
ff11be542636a6347a9f8bf3e5b096c748c4c1bf,1,0,0,1,31.78150463,1,0,0,0.207808564,0,5.859770922,32,1,1245454749,0,0,
cfb96367814acb7f815498559a79836dfce14328,1,0,0,1,0.000486111,1,0.994868505,0,0.174418605,3134,5.859243785,32,1,1245454791,0,0,
513998544af81590ea166f59baf5a8f570215716,1,0,0,0,0,0,0,0,0,0,0,0,0,1245455564,0,0,
2c372c70cff22102ca8102a288e1110aa08e4ecf,1,0,0,3,12.37899306,2,0.000501857,0.000100371,0.002114165,9267,1,3,1,1245732315,1,0,
