commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
89af8294f42a9a16b91a09f7808653a71648718f,1,0,0,1,0,0,0.001477105,0.001477105,0.032258065,677,0,6,1,1175893768,0,0,
4a8d243f4e4bb16bc627eb9de2f6d801250170e9,1,0,0,2,10.97813657,1,0.026852151,0.026852151,0.419354839,1276,3.086843392,11,1,1176842279,0,0,
114d67c614847da0eb08bc2b27cde120bda2b3ff,1,0,0,2,2.039375,1,0.051884357,0.051884357,0.548387097,1276,3.440002051,11,1,1177018481,1,0,
ec9a568764ec7a2ff39c27b4ee7d35b0c703bc2d,1,0,0,2,5.098333333,2,0.268507823,0.133991389,0.833333333,1458,3.573462328,12,2,1177449188,1,0,
add0c0c5a02d3d3a2864a5713545d7d06217d0eb,1,0,0,3,0,2,0.31976493,0.109238614,0.804347826,1637,4.011335181,13,3,1178567933,0,1,HBASE-811
3a70f2f97b5888d6b12bd26f066e23f84f7eaee6,1,0,0,1,6.404840067,2,0.063622442,0.038006404,0.239130435,1650,2.634029739,11,1,1178917903,0,0,
a6b7be60d6833d9416db90cf46ec5e18d84ab5c0,1,0,0,3,9.002413194,3,0.155401388,0.125867195,0.480769231,1696,3.763013634,11,1,1179458574,1,0,
7402e1b4fe5b11158887e9fd8dba7028220a3680,1,0,0,1,0,0,0.857142857,0,0.018867925,7,0,0,0,1179523148,0,0,
ba1ef8c0c3380e264256a3e06b7eff798aa29e0e,1,0,0,2,7.69081713,3,0.042216359,0.022427441,0.094339623,432,1.601324408,6,1,1179779719,0,0,
8a53c236b9f576893175d0f6f33318ea473574d9,1,0,0,2,1.933292824,2,0.007593458,0.002920561,0.037735849,1703,0.309543429,6,1,1179786183,0,0,
356f3919e9c10a56146ab1884c2b3432c9f1f4d9,1,0,0,1,27.09550926,1,0.002638522,0.002638522,0.018867925,379,0,6,1,1179790240,0,0,
47bf7fd8bbaca22a89e7429e52dcac5a5126d38a,1,0,0,2,3.140402199,2,0.020534991,0.019994596,0.075471698,1441,1.639649681,6,1,1179811807,0,0,
e3e22fe37eae6b22ba80ae24dfc7a219a119d92a,1,0,0,2,0.446809414,2,0.151515152,0.113220113,0.056603774,1807,0.627481275,6,1,1179841870,0,0,
a65898973081b8415fb7931452011ef28f2efaa0,1,0,0,2,3.822092593,2,0.271726535,0.077056779,0.12962963,991,1.428315752,11,1,1179865462,0,0,
19099c98b12f67747af78ca0b436a899a26467b0,1,0,0,2,5.712116609,7,0.019927337,0.015303314,0.296296296,1806,3.560732741,6,1,1179933240,1,1,HBASE-811
23f836454d9c5a495111b068f45d6aa89a2a724a,1,0,0,2,0.418293981,2,0.05988024,0.025948104,0.090909091,1436,1.942248094,6,1,1179955825,0,0,
af766ddc9103e78c128600bdd5d49374f69ac7d5,1,0,0,2,8.852326389,2,0.017316017,0,0.036363636,211,0.811278124,1,1,1180026720,0,0,
4f855ae28c633956ae322cf35c3ffdc06c30c1fa,1,0,0,3,8.443269676,2,0,0,0.036363636,211,0,1,1,1180026825,0,0,
