commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
8a9999c4e19e2480135f9151750dd0ee4011978a,1,0,0,1,0,0,0.98985725,0,0.990990991,602,6.050401605,32,1,1308762971,0,0,
1c49c55191d8ef1b81db70182e69095aff10e71a,1,0,0,1,0.012824074,1,0,0,0.077669903,0,2.342113317,6,1,1308764079,0,0,
1deec80b3dd9055e7dcc69f2b7acfa8c57281e08,1,0,0,1,0,0,0.989010989,0,0.577868852,166,2.133950032,7,1,1308764107,0,0,
704a8500062174f24e96ced21c8570068d92c148,1,0,0,0,0,0,0,0,1.218181818,0,0,0,0,1308764154,0,0,
f879cf8fd174c3ab407cc0fb7ebdf1aec49f563d,1,0,0,1,0,0,0.75,0,0.009009009,4,0,1,1,1308764917,0,0,
bc6e27ebae48f17ec0b2ca802fd34bd37f641f1c,1,0,0,1,0.130891204,1,0,0,0.018348624,0,0.943601631,1,1,1308774280,0,0,
afbe9c272d0b993d17b56eae68a433631973975f,1,0,0,1,0.320381944,1,0.011904762,0.011904762,0.009174312,84,0,1,1,1308790652,0,0,
519cdfdeb0b2b1e3ccf661b6172aab1b448df6e7,1,0,0,1,0,1,0.045454545,0.011363636,0.018348624,84,0.970950594,1,1,1308777376,0,0,
e0b6dae0fe794676d8f367d5a51ea3aad6c6ced3,1,0,0,1,0.001898148,1,0.25,0.25,0.009174312,4,0,0,0,1308777540,0,0,
23234e70def3e192109fe1024fcfa60f6f3921db,1,0,0,1,0.15494213,1,0.011904762,0.011904762,0.009174312,84,0,1,1,1308790763,0,0,
7c09e08d2eb2aa40ca96d0a3bbe2c818a5542395,1,0,0,1,0.300671296,1,0.2,0,0.009174312,5,0,1,1,1308790895,0,0,
23604d16c72edaf18de2b0122fd5bcc47d10ef35,1,0,0,2,1.115300926,1,0.3125,0,0.009174312,80,0,8,1,1308859333,0,0,
a45ab2cbdf7cbde6fbf181ce745e2c993c9c2f3e,1,0,0,2,0.15702381,3,0.093862816,0.048736462,0.064220183,293,2.296398862,14,1,1308794293,0,0,
