commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
e452e93e4bee1724747a41ffd60052ac30dbab70,1,0,0,1,0,0,0.034722222,0.034722222,0.000373832,144,0,3,1,1392896789,0,0,
dddf98b8c5910cb804c4fe29566e95b7fcf17c94,1,0,0,1,0,0,0.58692053,0.006622517,0.004107543,457,1.362975821,9,2,1392904671,0,0,
4e8e3e6573926bdd227b4b499e14bb8da6727dce,1,12,1,2,0,1,0.002535439,0.081710269,0.004485981,8173,1.473523876,14,2,1392898191,0,0,
91292e49263278d6ff7265383b57ebe3df03100d,2,1.416666667,9.5,1,0,0,0.989807163,0,0.012550757,329,4.778158558,19,1,1392899667,0,0,
87a37925755a32051d6b45d58daf6a7a9f16b83f,1,0,0,2,0.08244213,1,0.58692053,0.006622517,0.004056047,457,1.362975821,9,2,1392905314,0,0,
4d024ca9dc64d7b65171446e5c4b668eb6b7e34d,3,7.058823529,0.578947368,2,0,3,0.118649552,0.056843922,0.007731959,8162,4.065269611,11,3,1392975014,0,0,
dfd3850b78fbce14360ea04b405ce9687d655474,1,0,0,3,0,1,0.017649432,0.031948435,0.074621352,9448,6.03482741,123,4,1392974632,0,1,IGNITE-2700
f9a6ce4a71c6b605a9ade08786a959f3674de7bc,4,1.416666667,9.5,3,0.004791667,1,0.118675154,0.056856187,0.007746219,8160,4.065269611,11,3,1392975046,0,0,
6efcb1cbec512883920956a50d54e4843dd1760b,5,1.411764706,1.210526316,2,0.055046296,2,0.002305476,0.001383285,0.00147547,8163,1.983679692,23,2,1392979595,0,0,
a917aa435324c311628682d367b7f93569961b51,1,0,0,3,0.283188833,3,0.053895149,0.110828025,0.01256003,8171,4.239782853,31,4,1392978934,0,0,
42c1cb2f790bd473a11f6455f23006e8f7522087,1,0,0,3,0.000219907,1,0.118675154,0.056856187,0.007746219,8160,4.065269611,11,3,1392978953,0,0,
6e4f023f51f312884a354f08332fe496042304ef,6,1.416666667,9.5,2,0.007873264,2,0.002305476,0.001383285,0.00147547,8163,1.983679692,23,2,1392979619,0,0,
beaa161dc486fa56b95a946e36e3e4b1b31ec7a4,1,0,0,2,0.493755787,2,0.001509814,0.193256165,0.004065041,464,2.672260095,15,3,1392981961,0,0,
7f0dbe91085179ce5825a4e7cc9863dfcfdbfe5a,1,0,0,2,0.006793981,1,0,0.092039801,0.000369549,402,0,0,0,1392982548,0,0,
f72893be7a86290128560deb885fbd3a7fb962ee,1,0,0,1,0.180497685,1,0.020367188,0.066998282,0.053791558,3061,5.564784432,77,2,1392990227,0,1,IGNITE-1194
129bf3d4722477f12b1e8b175baa91daef8180fb,1,0,0,1,0.10056713,1,0,0.010787706,0.005229735,2861,3.765656304,7,1,1392998916,0,0,
5d34e8b3975c13fe99401544200384e9f24cd78b,1,0,0,1,0.281435185,1,0.004201681,0.004201681,0.000373552,238,0,6,1,1392998948,0,0,
732a0d4abebce7aa3c68f4a900f9469422c622bd,1,0,0,1,1.781643519,1,0.015668943,0.002611491,0.005603287,2861,3.758714102,7,1,1393152850,0,0,
3465efbbb2d42b6b7dceb080d14a9f49bf1b9d24,1,0,0,2,2.05523534,2,0.01874063,0.005247376,0.001120657,470,1.561278124,3,2,1393159729,0,0,
b6dae24bd5fdecd2e3cfe39630c04da216c0f881,1,0,0,3,2.689778807,2,0.064591897,0.096620936,0.014194994,2074,3.890129565,37,2,1393207583,0,0,
24fdd9eed58a2b6736f18201559b358c518381cd,1,0,0,1,0,0,0.988235294,0,0.000373413,85,0,10,1,1393209063,0,0,
17ac609b924c6badb7260a07b3499577aea901c0,1,0,0,2,0.087210648,1,0.004202652,0.004202652,0.009335325,40215,3.567783871,18,1,1393215118,0,1,IGNITE-6529
e05bfa9ba8254683a30c133333c69aad02b3c856,1,1,1,2,2.801030093,1,0.000653168,0.000326584,0.000373413,3062,0,7,1,1393232236,0,0,
04c891f258f571280acadd8f095caf7df9872930,1,0,0,5,0.376077691,7,0.021981396,0.022884494,0.031016442,40215,4.95797664,69,2,1393174494,0,0,
425c61c15e509cdfee26ad5b8e96df26b92addf4,1,0,0,2,0.570081019,1,0.030063291,0.023734177,0.000373692,632,0,7,1,1393223749,0,0,
f2982a7654df87aa92381a5b3c6baff2f00fb01c,1,0,0,4,0.570590278,1,0.018888836,0.025038135,0.020545387,40215,4.46568377,42,2,1393223793,0,0,
6b576f966db0f0daf322fc376e808aaccad2d520,1,0,0,2,0.113287037,1,0.057722309,0.043681747,0.000373552,641,0,7,1,1393233537,0,0,
bf19fec3f2d89bb032b266e35fb44799baa67d03,2,11.33333333,18.33333333,4,0.656525782,3,0.032926708,0.012231809,0.012696042,8163,3.282776096,55,2,1393226362,0,0,
298468682da7941dcbb3d3acd77b8c9b0d7d10eb,3,0.044117647,0.245454545,1,0.004525463,1,0.010309278,0.030927835,0.000373413,97,0,9,1,1393226753,1,0,
0f9570ede24e462a8315d271a83f658cdb7d3477,1,0,0,2,0.108229167,1,0.004162331,0.004162331,0.000373413,961,0,12,1,1393235713,0,0,
457bd6ad3e175f9ef9527e18c6b0beb517d7f720,4,317.3333333,99.81481481,4,0.113587963,1,0.01371789,0.036593707,0.01045947,8163,3.123009866,49,2,1393236176,0,0,
38f66ef94068f1aac3d767440458896ef15f8187,5,0.00157563,0.035064935,3,0.059351852,1,0.000662252,0.000331126,0.000373552,3020,0,7,1,1393241304,0,1,IGNITE-9312
e626f3a626bc6ddf9b267fc3f3d245b5eec8e594,1,0,0,7,0,8,0.026415822,0.019544655,0.039267016,40215,5.238898171,85,2,1393185215,0,1,IGNITE-96
5e375cb71b01ae5935ba42620f3c69864f4423a4,1,0,0,1,0,0,0.996336996,0,0.000373832,273,0,9,1,1393188150,0,0,
b366547c3be08b68fd958c674f17447a287df799,1,0,0,2,0.462650463,1,0.005350773,0.007728894,0.001121495,1170,1.118078209,17,2,1393225188,1,0,
f8da1fe7469026b9303394469dbb86d7de172f20,1,0,0,5,0.303580247,3,0.001662165,0.001142738,0.001121495,8178,1.305803563,10,1,1393225747,0,1,IGNITE-96
6372f5c2dfed7b19dcb95087c153b4161f620c07,1,0,0,6,0.569820774,4,0.020010471,0.029583586,0.037728801,40215,5.236274574,81,2,1393234358,0,0,
da0ce1c8d914c39c10d7ee34ec715e37da826099,1,0,0,5,0.511592262,2,0.011716462,0.004979496,0.002989537,1524,2.313593554,25,2,1393236437,1,0,
c292a6dd85392ecffca7d9d08ed1a31134decef1,1,0,0,2,3.031226852,1,0.012987013,0.012987013,0.000373692,154,0,7,1,1393236530,0,0,
68c2f8d19677563944693a98ec98b4a0650e8a59,1,0,0,3,0.021226852,1,0.047058824,0.058823529,0.000373692,85,0,7,1,1393238271,0,0,
c34b81ff310a9f6ece4c36d4ffa1a539d2ac271a,1,0,0,2,0.985347222,1,0.002248876,0.002248876,0.001121076,470,1.584962501,3,2,1393244863,1,0,
8afbc7cdab4901e4a199beee6b2c62a05ebded77,1,0,0,7,0.154965278,1,0.026400688,0.024626304,0.007479432,8178,2.783659058,29,2,1393247747,0,0,
5f70e24165524287c11141cd86b8adc1775fe531,1,0,0,3,0.010046296,1,0.006711409,0.006711409,0.000373972,149,0,9,1,1393248615,0,0,
89a9264f483b307f6bc9bf1ebced22dcc8fceb1c,6,317.3333333,99.81481481,4,0.835798611,1,0.000662252,0.000331126,0.000373972,3020,0,7,1,1393306571,0,0,
e6c396f1a477b20c48caefa7e3c9c4b3f23dd739,7,0.047194546,0.164482186,7,0.374948688,7,0.017412587,0.018146853,0.011206575,8163,3.134610175,33,2,1393242401,0,0,
765e6b993f32511e6d0d1e3c750f20b6e5e15eaf,8,10.59444444,27.35858586,2,0.078298611,1,0.000853242,0,0.000373552,3516,0,9,1,1393249166,1,0,
19db3be61c99121b39d362082cbc05b5fdf6f079,9,1.227058207,0.603101348,7,0.7428125,1,0.024837638,0.023251202,0.009723261,8178,2.917503357,33,2,1393306580,0,0,
c30f7bd8db4c81c8737ea7f55ba6236e9d6c9b4f,1,0,0,8,0,10,0.301293101,0.301734625,0.185854026,40215,5.60838221,188,2,1393039181,0,0,
d46db7e0470075125e8c8a24a283ee66dc16b13d,1,0,0,1,0.71599537,1,0.328767123,0.220319635,0.003386005,211,2.460405821,25,2,1393101043,0,1,IGNITE-190
ab5fce8cc7d2a0efad2b99305ec3cc5059c141f4,1,0,0,3,1.149404762,3,0.074198359,0.051826995,0.004516372,1450,2.108243947,22,3,1393121515,0,0,
e3be5626fae00ad1b1eca869bf4029da6adca560,1,0,0,2,0.972202932,3,0.223923445,0.338118022,0.004890895,2273,3.31947686,19,2,1393127482,0,0,
e0416b33458073232c2cd7a88d6c9431ff32e550,1,0,0,4,1.538842593,1,0.016318124,0.003168568,0.006772009,2861,4.014015082,9,2,1393172137,0,0,
addf11d0dfbc630408683d1df5e5b23ef5bd2e60,1,0,0,1,1.591500178,2,0.994858612,117.0796915,0.005666793,373,2.437956359,13,1,1393183479,0,0,
1dfb8b8d6046f5323789aadd48c45de51d53f952,1,0,0,1,1.387145062,2,0.052173913,0.020289855,0.002643505,247,2.154124624,25,2,1393188464,0,0,
862f6395809d759a186640fa2a3af8bdcb783d5d,1,0,0,1,0.884137731,2,0.06495515,0.047324466,0.004907512,983,2.524760014,23,2,1393190212,0,0,
c93cd5a9cbbbb6fea089c9fb88409200e9cc6ae3,1,0,0,1,1.273236111,2,0.989361702,3.010638298,0.002268431,94,2.285334746,12,1,1393209601,0,0,
ca1e4bb7f64d9582cd49b3547f927b1feaa94f1d,1,0,0,5,1.518771495,5,0.031850632,0.19989017,0.002647504,831,2.0507448,21,2,1393219208,0,0,
7cbe05fdadb92a8eb53f631dbbc8aaf17f8bd420,1,0,0,1,0.001435185,1,0.029850746,0.052238806,0.000378215,134,0,7,1,1393219332,0,0,
f48033b580ef88effa38625365631e268b0ebd56,1,0,0,1,2.061581197,2,0.843873518,1.650197628,0.007954545,217,4.065840534,12,1,1393223635,0,0,
8fa14a92118886b3f001eb2b2872d5bb561fcb75,1,0,0,1,0.700395833,4,0.377777778,0.517460317,0.002273588,231,1.302808937,10,1,1393225949,0,0,
6e6b496650a3904f11db90507a91891ad1c13890,1,0,0,5,2.130395876,3,0.018916821,0.025079119,0.020454545,40215,4.461435963,43,2,1393226028,0,0,
e9489cc6f97ca74ea7fd55fff7e2f322e54142b6,1,0,0,1,1.106076389,2,0.243523316,0.694300518,0.001136794,164,0.813625812,17,2,1393228130,0,0,
c3e4520bd9c3cc4aa84e273b52c65dce0619fe10,1,0,0,5,1.54005787,2,0.302816901,0.329812207,0.00265252,268,2.134061928,30,2,1393235225,0,0,
64e1b95e7706cdd7562d050a2dd0d2643fcb1598,1,0,0,0,0,0,0,0,0.000378931,0,0,0,0,1393235334,0,0,
50cee3904de56db50551c9307e037b49c0506615,1,0,0,7,2.046941872,3,0.013507308,0.036274585,0.010235027,8163,3.123673922,48,2,1393236633,0,0,
291e4d1f2081cc2832ea18f5719b1d6e8778b035,1,0,0,5,0.575810185,3,0.034548944,0.003838772,0.0015163,673,1.021928095,15,2,1393236668,0,0,
d0a7a2d9de61ff9aefc4722dc4ac86b6f2236768,1,0,0,7,1.474509755,4,0.02574167,0.023140119,0.009101251,4790,2.038186587,30,2,1393238364,0,1,IGNITE-190
2aaff0d8daa9e2ceeadba7ed972f4f28889bd6aa,1,0,0,2,1.756755401,2,0.011904762,0.023809524,0.001137656,503,0.97378373,8,1,1393257359,0,0,
89c66e95fe9f58e16b1d2b9319c88e2e0c9ee6aa,1,0,0,6,2.70513042,10,0.642100732,0.715841584,0.052007648,4606,5.144806859,75,2,1393298038,0,0,
6183716cf7aa2ee4c1762442ff871868d9d6aaaa,1,0,0,6,2.523339807,17,0.547394612,0.620125365,0.092135698,3016,7.303557893,73,2,1393309025,0,0,
2255345eede4fc21a19c22f6107ff145942c5c9e,1,0,0,1,0.070393519,1,0.532941176,0.532941176,0.00231303,238,2.034612085,10,1,1393315107,0,0,
f3a32404e38263209e49a29720cba1a55db29ddc,1,0,0,2,0.073888889,1,0.991694352,0.991694352,0.00308404,298,2.612665556,8,1,1393315409,0,0,
b4faf8511ccae054ccccd779b22f0a7afb07c0f1,1,0,0,1,0.053328704,2,0.987202925,1.453382084,0.00385505,132,3.203822283,9,1,1393317463,0,0,
053ead0bdd323c29d72341fc5b3256e0b5af6199,1,0,0,1,0.092280093,2,0.988023952,0.517964072,0.002311248,92,2.581402711,8,1,1393321217,0,0,
ec9354fb5b85d7a2244cc9b4c8f6b97e81ee7d2f,10,7.334615385,19.0681053,5,0.340785675,3,0.022129187,0.021132376,0.006931074,2584,2.449552337,23,2,1393325851,0,0,
a017dc1e77f52b93a161e5e461ae189bb3adcfac,11,1.84058731,0.812875729,7,2.607259945,5,0.023257863,0.02079112,0.010404624,8178,3.043196843,31,2,1393326037,0,0,
2c49586c5acdc34c45617089a21dcfd516843de2,12,17.65740741,12.30200342,3,0.184782986,5,0.767007402,0.847197744,0.025086839,568,5.543835709,20,2,1393330981,1,0,
121b03602b602ee13552ade1bcf2789da64f6198,13,0.226533823,0.365794078,2,0.746854745,4,0.035643564,0.998019802,0.00309119,136,1.987482748,9,1,1393332736,0,0,
bfbe207489fce2839881974b7b1acf00754064c9,14,2.207175926,8.201335611,3,0.279108796,1,0.008039147,0,0.000386399,2861,0,6,1,1393333140,0,0,
eedc27622f9097be119dce8e848bd3ec73514eea,15,1.812270582,0.792553836,2,0.264463735,2,0.395502646,0.66005291,0.003092385,150,2.231115007,13,1,1393335534,0,0,
e0985eb0251c8dd014946d8fab062343129709ae,16,0.827690972,4.41610379,2,2.31560571,2,0.004672897,2.042056075,0.001160542,214,0.875699203,7,1,1393336516,0,0,
b10b902febcfb1a2307d9b3786ac2ad2b8a86310,17,12.68589407,2.490883485,5,0.257321937,5,0.164533821,0.259075477,0.008513932,2835,3.875594145,22,2,1393342014,0,0,
170be2827ee276089dcae2ec5c6124d4223eb53d,18,0.197069279,2.007319905,2,0.313868056,2,0.065168539,0.382022472,0.001934985,94,2.129936668,10,1,1393342741,0,0,
0561ed794c505db1534280b40168ffb6f342e1c7,19,83.72690089,3.985413576,2,0.354602431,6,0.787512588,0.842396777,0.012770898,267,4.577816018,16,1,1393343117,0,1,IGNITE-383
1bfdaddc62ddfd10dbc89a19ad29eb6014f43eda,7,145.7647059,8.157894737,8,1.315334387,26,0.600035253,0.19197756,0.158937921,13053,6.054643376,155,3,1393314216,0,0,
ad47d3c51a68d2b7c02cd2d10cdeabdcd1030f73,8,0.003430186,0.061290323,2,0.06625,1,0.007092199,0.007092199,0.000373972,141,0,1,1,1393319940,0,0,
692386f7c981a581f30dcbfe97e8bc09d80f94f9,9,874.5882353,16.31578947,4,2.10447338,2,0.009803922,0.009803922,0.002243829,166,1.459147917,2,1,1393328411,0,0,
991e6d406dbc60216ba83a0ff939a5a1cfbde1c2,1,0,0,5,0.013382523,3,0.059950042,0.029975021,0.003365744,225,1.857865754,13,2,1393326734,1,0,
4a812563fd551eb45aa3b14b54cb54490ee68b72,10,0.004573581,0.061290323,5,0.047349537,1,0.021516393,0.021516393,0.002991773,223,2.298309401,2,1,1393330825,0,0,
d8134243498e0a1df94784a895777fb6cb3fe648,11,218.6470588,8.157894737,3,0.050335648,1,0.005494505,0.005494505,0.000747943,223,1,1,1,1393335174,0,0,
4e960adde9329bcc5be86ef5135ed0f7f01278e2,1,0,0,5,0.459844393,3,0.030282638,0.019515478,0.003739716,421,2.763604222,12,3,1393332423,1,0,
58b0f7ba9b895eae016d5a823578d2b7f95788ca,1,0,0,4,0.960329861,3,0.135788262,0.084004603,0.001869159,419,1.787500948,21,2,1393325601,0,0,
f10569ae628b404e6c35066fcc944df9be8054ed,1,0,0,3,0.064166667,1,0.226666667,0.066666667,0.000373832,225,0,11,1,1393331145,0,0,
949a79f08b0f06d92096e8e86dcffd807c70fcf7,1,0,0,4,0.079479167,1,0.043137255,0.011764706,0.000747664,421,1,10,2,1393332468,0,0,
0bd850d6c7e5bafd1ba63b6af9182834194c37f9,1,0,0,4,0.030752315,1,0.022222222,0.011111111,0.000373832,90,0,1,1,1393335125,0,0,
5f56cbb40793a516574c05e2667be6c673870ea6,12,0.018294323,0.122580645,5,0.045821759,1,0.023565574,0.023565574,0.002990654,223,2.297759808,2,1,1393336382,0,0,
80bc59434515ac14ce9faa946a159ca5052c5dd4,1,0,0,4,0.334016204,1,0.02,0.02,0.000373832,50,0,7,1,1393343075,0,0,
9934c4ae16635bbe25faf0cd5a28bc269755da24,1,0,0,8,0.416565592,2,0.327464881,1.023896722,0.162475822,9428,6.052143889,154,2,1393350278,0,0,
6e67267270c7d549c7c5a95bc829044573c89402,1,0,0,3,0.019641204,1,0.465116279,0.744186047,0.000773994,86,0.967475609,7,1,1393351975,0,0,
4e9f9a287296a71774cb9badda19c682fe26a42c,1,0,0,10,0,9,0.58479733,0.188319882,0.163051608,13053,6.067424081,164,3,1393297650,0,0,
56454848bc98b27fcdecb23928c2385170fd0815,1,0,0,7,0.738055556,1,0.100102669,0.023100616,0.005233645,421,2.650375954,29,3,1393361418,0,0,
2aea1d52520e07dc875f8e0d80e8d80301374632,1,0,0,4,0.748703704,1,0.003802281,0.007604563,0.000373832,263,0,7,1,1393362338,0,0,
5c5b382db72bbf9faea1a8184277651b04efb04a,1,0,0,10,0,3,0.042702214,0.222548577,0.017228464,1759,4.108224149,45,3,1393296750,0,0,
79e48491b9d1ec670a51e04d47466974a2f168f6,1,0,0,3,0.701886574,1,0.012827988,0.089795918,0.002621723,520,2.708995064,12,1,1393357393,0,0,
f60fd00c8c7a8228998bad3c8777bffa3904f2b2,1,0,0,7,0.739861111,1,0.100102669,0.023100616,0.005241483,421,2.650375954,29,3,1393360674,0,0,
14e6320364df635287f56ad2884c2a87b61690c8,1,0,0,1,0,0,0.017699115,0.053097345,0.001497566,59,2,8,1,1393363186,0,0,
025da987363dc7dad7f776487fd0645a25f30b89,1,0,0,7,0.809884259,1,0.000541565,0.005144869,0.00224635,1755,2.521640636,21,1,1393366724,0,0,
70e8e519e07255e6eafb20a14e2db61fc12d0e5f,1,0,0,7,0.888541667,1,0.122538293,0.061269147,0.000748783,236,0.276195428,7,1,1393374420,0,0,
55f72430b2dd5c93b551fd3012a12983dd80c208,1,0,0,8,0.916066126,6,0.331312199,1.02578264,0.161890008,9428,6.03641587,155,2,1393378058,0,1,IGNITE-62
10445aa32908c69520bb1de6fef9c3dbb1639f90,1,0,0,7,0.024895833,1,0.023926812,0.022519353,0.00116189,673,0.760732746,7,1,1393380209,0,0,
0f2ad10666ae7a8051f03717e077d2f21e371629,1,0,0,7,0.065202546,2,0.026709402,0.017094017,0.000774593,686,0.600608575,7,1,1393384767,0,0,
7e679d32a293a2ee8daebae3269006e3c2013826,1,0,0,7,0.235277778,1,0.056417489,0.023977433,0.000387297,709,0,7,1,1393405095,0,0,
27b9286d77f15be56a4a3221a82c505aad8c5001,20,0.035830778,1.881862411,7,0.305219907,3,0.189613527,0.234299517,0.00232468,686,2.460808814,15,2,1393393930,0,0,
1dfe91e9e82875cb8d00774f6c28753d7be28dbb,21,1060.540745,9.299298344,8,1.028406987,5,0.158760581,0.634882607,0.032093933,342,5.044878853,35,2,1393403173,0,0,
364b32c0fa953f64c01baf2f07475cfbcee3fe49,22,0.00188583,0.483907477,4,0.0390625,2,0.711111111,0.788888889,0.001566171,150,1.830194565,9,1,1393403467,0,0,
62ef7684e2ba32fb5fec955079a95da7e7263a44,23,265.1351862,6.199532229,4,0.306493056,1,0.012987013,0.012987013,0.000391543,77,0,6,1,1393404539,0,0,
07fefe95bcd4342dcd5ac038a1d1871ed614f3af,1,0,0,7,0.129340278,1,0.056417489,0.023977433,0.000391543,709,0,7,1,1393405105,0,0,
de2d453b20b38c545bedee1133ef55f654dd1928,24,0.003771661,1.0484662,7,2.503570602,2,0.018825301,0.037650602,0.000783085,686,0.795040279,13,1,1393406177,1,0,
0c52cb01b6cbebf4980029e3985ac17585570f17,25,927.9731515,4.291983851,4,0.157395833,2,0.005364807,0.347639485,0.002742947,324,1.746186342,9,1,1393406726,1,0,
67e5de384b998b5bf4b1e90cfd69baca1a56c4a8,1,0,0,7,0.016168981,1,0.056417489,0.023977433,0.00039185,709,0,7,1,1393407574,0,0,
45a716936dd42266a94ca96f27f2604d8798b8b6,1,0,0,7,0.013263889,1,0.154488518,0.634655532,0.00039185,479,0,7,1,1393408720,0,0,
ef795d854520b45aae1a3ffdebcb7ff0859d93dd,26,0.00808213,1.514451178,7,0.26723235,3,0.754791804,0.617977528,0.007445141,686,3.239722813,13,2,1393408119,0,0,
4be35c57e89ef40cea6de36a4667609f81d2829f,1,0,0,7,0.007465278,1,0.237995825,0.670146138,0.00039185,479,0,7,1,1393408764,0,0,
dbdca21729ce241344b99f0a9099c6a713ac6e83,13,553.7394238,159.8186528,10,0,24,0.440723434,0.175534343,0.221887928,13053,6.606356472,199,4,1393239470,0,0,
