commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
431f08217c54581f6ccdf5f3e8512ca4ef1ef755,1,0,0,0,0,0,0,0,0,0,0,0,0,1314923033,0,0,
8367900baf07705ec24e45e31a43c268c312bf14,1,0,0,2,0,1,0.992535836,0,1.003929273,2555,8.252280551,195,9,1314923491,0,1,OOZIE-3314
c1fdab2f3cb8f71d594dde11095f783abc6f0639,1,0,0,2,0,2,0.990415335,0.09456869,0.040229885,569,3.379273153,27,3,1314923498,0,0,
b898d0392297061251c82428316ab2d4897762ea,1,0,0,2,0.000115741,1,0.096731863,0.053927389,0.143678161,701,5.41218778,57,6,1314923501,0,1,OOZIE-715
9501311af7a50904c7eabee1fa1a9053c17234ac,1,0,0,2,0,4,0.451420483,0.096969467,0.67862969,2954,7.401041953,143,9,1314923515,0,1,OOZIE-761
54a2f6932111b7883396668201ddae220127c68c,1,0,0,2,0.000150463,1,0.034697509,0.047153025,0.01141925,553,1.584527997,20,4,1314923528,1,0,
35f3dd01cc5b191f2e0980297807237568920b20,1,0,0,2,0,6,0.203182518,0.342973408,1.312883436,2738,8.414906624,195,9,1314923543,0,1,OOZIE-761
44396a8a80724134e0f831e4783fc5c9b5cf0779,1,0,0,1,0.00025463,1,0.011235955,0.011235955,0.00204499,89,0,4,1,1314923565,1,0,
2b46425aab101ae06766a2e34771f58162b49bb1,1,0,0,1,0,0,0,0,0.002040816,1,0,4,1,1314923566,0,0,
60f033b50c33cebe39c1bac5d24274626fc4c46d,1,0,0,2,0.000277778,1,0.10567297,0.012235818,0.004081633,623,0.803715924,8,1,1314923567,0,0,
da72dd2200d8438bb27fa6379d84e59c1401219f,1,0,0,1,0.000289352,1,0.02173913,0.02173913,0.002040816,46,0,4,1,1314923568,0,0,
c9eab08bddcf92040346b1459c0dea87343fd216,1,0,0,1,0.000208333,2,0.029535865,0.03164557,0.006122449,540,1.527530208,2,2,1314923569,0,0,
cf092a5f87b919462d28253b4039a1dfc38eb21f,1,0,0,1,0,0,0.96,0,0.00203666,25,0,0,0,1314923570,0,0,
dbd83f14c23c39b30399cf71afbf152ffeb98a99,1,0,0,1,0.000195106,2,0.010891763,0.010891763,0.014256619,540,2.555036533,6,6,1314923571,0,0,
9f44c7facbb3264d7a4fc2753c1064e4ff51fe67,1,0,0,1,1.16E-05,1,0.004210526,0.002105263,0.00610998,540,1.584962501,2,2,1314923572,0,0,
f3cc6eb98bb2e208740ae5f86043bd0c6073a9f8,1,0,0,1,3.47E-05,1,0.04,0.04,0.00203666,25,0,0,0,1314923573,0,0,
81e62a95b38b566d1fb68b1f7f5133c6028722de,1,0,0,1,0.000358796,1,0.019230769,0.019230769,0.00203666,52,0,4,1,1314923574,0,0,
1c29cae0153f920d08233378a64cb6677a9a1b14,1,0,0,1,0.000146605,2,0.005976096,0.000996016,0.00610998,540,1.556656707,5,2,1314923575,0,0,
ccca835f8b35cda40d0266df11d4c80c41a7edd8,1,0,0,2,0.000104167,1,0.003210273,0.003210273,0.00203666,623,0,8,1,1314923576,1,0,
e81e70b7472ab1039a29c57ac91da5a14dd5f23e,1,0,0,1,2.31E-05,1,0.030075188,0,0.00203666,266,0,0,0,1314923577,0,0,
4197362efa4c37a0b7489d6d1749c21e09b11711,1,0,0,1,0.000243056,2,0.091517857,0.004464286,0.006097561,248,0.429122341,7,1,1314923578,0,0,
83de8f4dc40449e4c8c46d7bc560248a7532cd88,1,0,0,1,2.31E-05,1,0.014814815,0,0.00203252,270,0,0,0,1314923579,0,0,
9cdbd1ad2d0bc239c133c03744a8267db60fa755,1,0,0,1,5.79E-05,1,0.004854369,0.004854369,0.00203252,206,0,4,1,1314923580,0,0,
5770eec6356fa045fda076edc571859b90a0cd72,1,0,0,2,0.000439815,1,0.057057057,0.036036036,0.00203252,333,0,4,1,1314923581,0,0,
6c25ca64777bb76ba7783d478dbfd3fc91a7fa5b,1,0,0,2,0.000462963,1,0.043478261,0.014492754,0.010162602,268,2.059773406,15,1,1314923583,0,0,
00278303e6c3caa4e3bf04cb79e595f3790f81d4,1,0,0,1,0.000541915,4,0.724814064,0.874915483,0.128458498,185,5.285563029,53,3,1314923585,0,0,
b331c8954e069dae75a204fbfb1b10b9f3501577,1,0,0,2,0.000196759,4,0.010059442,0.008230453,0.007905138,1151,1.742737649,19,2,1314923587,0,0,
81f4abc05cc8f8c72fc1976bfe983d5ee1f4b83b,1,0,0,2,6.94E-05,1,0.040462428,0.075144509,0.001976285,173,0,8,1,1314923589,0,0,
3bfa9a785003f3f8f898590e1da998d5c59ad218,1,0,0,2,3.47E-05,1,0.004815409,0.004815409,0.001976285,623,0,8,1,1314923590,0,0,
c7da714a88aa6b13c43e327e7356dd67176bbf52,1,0,0,2,1.16E-05,1,0.012678288,0,0.001976285,631,0,8,1,1314923591,0,0,
2e3de2c63f69286cdb28c8cdefc44012da6605c5,1,0,0,1,0.00056713,1,0.084179971,0.010885341,0.00591716,922,1.566531687,17,1,1314923592,0,0,
5d0dd5783f7e754bf289dfa20f320cda8ec52f02,1,0,0,2,0.000578704,1,0.053571429,0.035714286,0.001972387,56,0,1,1,1314923593,0,0,
7fad048791c3aff1cc0d960865d41a789ab1f6c6,1,0,0,2,0.000590278,1,0.021484375,0.01171875,0.003944773,736,0.833764907,8,1,1314923594,0,0,
d07f115c6403e7fbef9852e147990c369a8a7137,1,0,0,1,0.000601852,1,0.239726027,0.126712329,0.003944773,171,0.348596861,16,1,1314923595,0,0,
9783168e44c95f0f429ffcd3ca13a1fa3a8ade1a,1,0,0,1,0.000234788,5,0.004697987,0.004697987,0.013806706,540,2.807354922,6,6,1314923596,0,0,
a9e6e8102c23909006c374942c5b9ee6d50d90c5,1,0,0,1,0.000636574,1,0.217391304,0,0.001972387,69,0,0,0,1314923598,0,0,
6b4238b49ed9b0ff3ac5c5e73cba57c7c8cf2a3c,1,0,0,1,3.47E-05,1,0.001851852,0.001851852,0.001972387,540,0,1,1,1314923599,0,0,
2c1fb4a9f72e4b8f12fba6d88f2e5d52c77867d4,1,0,0,1,1.16E-05,1,0.233333333,0,0.001972387,90,0,0,0,1314923599,1,0,
dc1670385e1239ee398319b0def977f32b0587bc,1,0,0,2,0.000671296,1,0.018101452,0.008208798,0.027613412,1199,2.821263675,29,2,1314923601,1,0,
3164c9af1883ec711c1f1b146ee386dddf67aefa,1,0,0,1,3.47E-05,1,0.010989011,0,0.001972387,91,0,0,0,1314923602,0,0,
dd89dd6d8e260637c51ce6b778d9b6d3267ed0e0,1,0,0,2,7.52E-05,2,0.064547837,0.023918742,0.007889546,1201,0.611688988,23,2,1314923604,0,0,
88990f8c92ee7171099a51157933d92d8b50b24e,1,0,0,1,3.47E-05,1,0.010869565,0,0.001972387,92,0,0,0,1314923605,0,0,
c046657461b407e4f6ee2238388afede0112b9ed,1,0,0,1,0.000532407,2,0.00328084,0.002624672,0.003944773,2954,0.503258335,4,1,1314923606,0,0,
eee1b762fa32326512539336be5b38c1af74dbb4,1,0,0,1,0.000509259,2,0.208728653,0.111954459,0.007874016,231,0.759985619,15,1,1314923608,0,0,
080136306adc5a56126b7acc53984fc658fd687c,1,0,0,2,0,6,0.035168196,0.01146789,0.058939096,877,3.878334095,42,3,1314923610,0,0,
4d2749ef71e074715ffe17aca77487f672f2270d,1,0,0,1,0.000104167,2,0.005449591,0.002724796,0.003929273,270,0.918295834,0,0,1314923612,0,0,
