commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
abb6ced9ddb20ef760f5083d6519bbe1037a16d2,1,0,0,1,0,0,0.5,0.5,1,2,0,0,0,1146534883,0,0,
c4f7354a25c1dee2fcaec044b00efe82b7399b33,1,0,0,2,0.006701389,1,0.5,0.5,1,2,0,0,0,1146535462,0,0,
69c646bf1a9ead6b621a56fd81cd2406fb7a747a,1,0,0,0,0,0,0,0,0,0,0,0,0,1147128828,0,0,
3e039e7e3766d1dec0b2cb9b2bd9189555d0082c,1,0,0,2,6.874560185,1,0.5,0,1,4,0,0,0,1147129424,0,0,
c3d9053a6b2d64f57a6657a0570055071c559a6c,1,0,0,2,5.128773148,1,0.25,0.25,1,4,0,0,0,1147572550,0,0,
c64c2ca062ea353fdce8197f45a6fcc7e1d98a38,1,0,0,1,0,0,0.995304062,0,0.992592593,1776,6.291623559,25,1,1147577156,0,0,
b38bdc89ccb582ef006d84d726aebf63b35ccafe,1,0,0,1,0.009016204,1,0.000217344,0.003042817,0.118518519,1774,3.831401845,10,1,1147577935,0,0,
42cbc4dd743d0072aea113d13788f9324eb193e0,1,0,0,1,0.027928241,1,0.621301775,0.621301775,0.051851852,27,2.807354922,13,1,1147579569,1,0,
e6584f2f7490ee77caad0c349866c5c395ec086a,1,0,0,1,0.710706019,1,0,0,0.007462687,0,0,7,1,1147638561,0,0,
9d8d5d02e365b7b76477422d3740b692592db8c7,1,0,0,1,0.7359375,1,0,0.033333333,0.007462687,30,0,7,1,1147640741,0,0,
b9183699ba5e4eb2335772077f2b0d8918767fb8,1,0,0,1,45.66456253,4,0.995190803,0.816169147,1.804878049,1413,7.421781632,53,1,1151523273,0,0,
46e7dbf647b3ae5653e242218f7723f0b0dd5e89,1,0,0,2,0,2,0.994300352,0.559910343,1.549152542,2848,8.039134683,91,2,1151523973,0,1,OPENJPA-54
67410de676d5a77588829e97edbe1e251839f99d,1,0,0,1,0.161018519,1,0,0,0.003401361,0,0,9,1,1151537885,0,0,
bf8ffa5ced5bda9a67d87fc43bd4336509112e74,1,0,0,2,0,2,0.269615954,0.343046242,0.909967846,2618,7.196030443,46,2,1151707038,0,1,OPENJPA-13
f025bd4015c8b5969bdcf8f71a16674c42060105,1,0,0,2,0.071342593,1,0.004484305,0.004484305,0.003215434,223,0,9,1,1151713202,0,0,
00652be8fdb0007e6b0b624a370b9837c2854019,1,0,0,2,9.380868056,1,0.011494253,0.002873563,0.003215434,348,0,9,1,1152517545,0,0,
1fede626e2cad16f7bb4d77dd9fc3270a8b6b331,1,0,0,2,0,5,0.661883956,0.033415377,0.98346056,4566,8.066477785,120,6,1152578110,0,1,OPENJPA-1174
b9636bb8786de3ffbc3c897f4fe5f38e979c9df7,1,0,0,2,0.017638889,1,0.018081003,0.00072324,0.010178117,1312,1.514705607,24,3,1152579634,1,0,
7a6d34e95f66e916e44b844b1ce6551ba8169539,1,0,0,2,1.021507275,2,0.803353969,0.751706756,0.623409669,4981,7.583389986,75,6,1152666390,0,1,OPENJPA-1174
3feb467900547ecac8be5acadcdb02f79433db33,1,0,0,1,0.892416431,3,0.048,36.9376,0.175074184,194,6.079654143,20,6,1152667946,0,0,
26ee3648c3985b0e9b69201c3725a37518759aee,1,0,0,2,0.843627946,2,0.003131411,0.01079797,0.016320475,3515,2.527949339,28,3,1152731254,0,0,
