commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
a8c10efccf35977193cab80b0f17d6a2f7d066d9,1,45,1,1,0,0,0.978737542,0,0.97826087,265,4.972478982,34,3,1346452652,0,0,
f3cdad30930c2cd73404804cf4ceeca237509a2c,2,0.011111111,0,1,0,0,0.555555556,0.111111111,0.02173913,9,0,0,0,1346452819,0,0,
dbbf9443ffe219862c9744806f34deb2606d21c7,3,45,0,1,5.008125,1,0.111111111,0.111111111,0.02173913,9,0,0,0,1346885521,0,0,
24028799609ef606359d6bee39acd34d8d67a067,1,0,0,2,0,1,0.181818182,0,0.02173913,11,0,0,0,1346454047,0,0,
7ed952872d68eacc02d5a13e6b6ded4cf8babc55,4,0,0,0,0,0,0,0,0,0,0,0,0,1346885529,0,0,
5fb63e9a0743a23735f5b6043abd202a85173202,5,8,8,1,7.816793981,1,0.173714286,0.083428571,0.347826087,271,3.066076386,16,1,1347128023,0,0,
741c6fd77e6ccbebf47eacf021e68379d5063d53,6,0.0625,0.375,1,0.011319444,1,0.337408313,0,0.02173913,409,0,6,1,1347129001,0,0,
a1a04d51312b169e5f2576c146351c67366a6212,7,16,13.33333333,1,1.884259259,2,0.162121212,0.174242424,0.043478261,413,0.98301338,10,1,1347291312,0,0,
9b68b394fa8f8b339db1b85b5eb1ab744c89ca5c,8,0.15625,0.45,1,2.280607639,2,0.383891213,0.194560669,0.106382979,413,1.825152401,12,1,1347406712,0,0,
34124edc109127e0819d859fce91df960256571d,9,16,11.11111111,1,2.856525463,3,0.009109312,0.022267206,0.106382979,411,2.258466265,10,1,1347406966,0,0,
968fd551c58a091b5b13387038c57b15035a198e,10,0.5,0.63,1,4.688499504,4,0.274879227,0.142512077,0.340425532,517,3.265664264,14,1,1347576063,0,0,
c4109e21cac4743062f15d800dbec8366201e98b,11,2,4.761904762,1,13.68895833,1,0.181818182,0.071428571,0.042553191,115,0.552495114,6,1,1347635378,1,0,
f689f90b485b23c0cc5076088093ec6977358d09,12,0.5,1.05,1,13.68976852,1,0.008,0.048,0.042553191,109,0.863120569,10,1,1347635448,1,0,
82e0324ec300f370d5416e8d60999c910998dc58,13,29,14.76190476,1,7.939975634,5,0.334309419,0.249389946,0.58,381,4.122265661,31,3,1347748147,0,0,
5e9556105c37c4fa4073a7680d8132fa5c9f261d,14,0.086206897,0.203225806,1,8.997013889,2,0,0,0.111111111,0,2.2078014,6,1,1347748192,0,0,
