commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
64da9e2225d9deefc2156180f4d1b7814582e150,1,0,0,1,0,0,0.145924309,0.008005822,0.008951407,1955,2.613005085,15,1,1390852536,0,0,
50d523f6e7e3ba530128a86f0ad4b68b151213c8,1,0,0,2,0,2,0.977378839,0.835026962,1.867990654,6927,9.626442621,240,11,1390860861,0,1,PHOENIX-2311
9342036940a0c98a1c4529d7b76fd0a9425e13ab,1,0,0,2,0,2,0.143626571,0.002154399,0.008139535,1955,2.561513319,16,1,1390861183,0,0,
4066a331b9c209417b40e3a68da2f8422d7fbaa2,1,0,0,1,0.022546296,1,0.005291005,0.015873016,0.003488372,1287,1.187883542,11,1,1390862809,0,0,
806d3412f51d68dfec2ef8c7929eba3df4a2d082,1,0,0,2,0.409699074,1,0.184593023,0.1875,0.003488372,316,0.31099952,15,1,1390896259,0,0,
8f06dced59e2494996cf94ac44db7e90f6ec50a2,1,0,0,1,0,0,0.857142857,0,0.00116144,7,0,0,0,1390931502,0,0,
2106de2c5fce2301d81e9cb9091588ef84cef9c4,1,0,0,1,0.006481481,1,0.333333333,0.5,0.00116144,6,0,0,0,1390932062,0,0,
73a2e6093e4004a4c0266bc70f96e4d9ef95b5fe,1,6,1,3,0.988425926,1,0.08095723,0.006619145,0.006968641,757,1.752537125,16,1,1390946261,0,1,PHOENIX-9
f71b0c5600d2d37f826c1b84e26441931d494d96,1,0,0,4,0.188622685,2,0.014008621,0.087823276,0.010440835,679,2.120917147,18,1,1390941208,0,0,
6b832bc1ae0ab9cbdfe6e8f1a9cbd22bbc39e3fd,2,0.5,8,4,0.06025463,1,0.08095723,0.006619145,0.006960557,757,1.752537125,16,1,1390946414,0,0,
92623a0ffa4d2132c2e1c2f090692fddec87c637,3,1,0.5,4,0.007361111,1,0.005181347,0.005181347,0.001160093,386,0,8,1,1390947050,0,0,
be8c2fb500b017f4b8300f8afd2152aea8a70905,4,2,14,3,1.089016204,1,0.032667301,0.006343165,0.004640371,1557,1.275423812,14,1,1390954952,0,0,
