commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,fix,isBug,bug_id,commit_time
eb2c26ee53d2e7f669df3485fc4d84ba91d98275,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,1343838833
b83e8d562d80d6eb0ee11e069968e63cf0ff6ab2,1,0,0,1,0.083923611,1,0.666666667,0,1,3,0,0,0,0,0,,1343846084
e8153dcb824690b697a025e524df240469a81880,1,0,0,1,0.037881944,1,0.333333333,0,1,3,0,0,0,0,0,,1343849357
12f8b93a1b1eedacd33562b96b5f1ae2bdf6367f,1,0,0,1,6.91119213,1,0.4,0.2,1,5,0,0,0,0,0,,1344446484
fde7aad38d57389d61ad4b49c13147a298382472,1,1,1,2,8.060717593,1,0.625,0.25,1,8,0,0,0,0,0,,1345142930
31ceb4c7adc4cd3bf284d76535f84cc59828212e,1,0,0,1,0,0,1,0,0.5,13,0,0,0,0,0,,1345495001
14fa6168634b0d4d6c0bf163188021876d4a3d9c,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1345497463
7c0388faf2553511b68bfdbfdb30740ab6c66fea,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1345497610
47a2421471819fbb38fe74000ff0a3982b78a9a3,4,1,0.5,2,13.11070602,1,0.5,0.0625,0.666666667,8,0.764204507,1,1,0,0,,1346275695
56122d0e52edd12dc29a5bfaef7cbd7db307953c,1,0,0,3,3.878611111,1,0.875,0.875,0.666666667,8,1,1,1,0,0,,1346610807
be91bc1dd0fcbf5fe06f93b803d8bce5fdc40dd9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1346610847
850dcaedfb7b3126e9cdcaf74d1522f16fde0ca1,1,0,0,4,1.995636574,1,0.9,0.7,0.333333333,10,0,0,0,0,0,,1346783230
ceb9794e603d8b391c2ff033f5741261578d9bcd,1,0,0,4,8.585266204,2,0.875,0.791666667,0.75,13,1.188376372,1,1,0,0,,1346794671
941fb53820652effc8058175a05d640a1135b0b0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1346799945
d8bed77eedd024bd2f352ccdae93ead5e8e77ae1,6,0.5,0.5,3,2.978402778,1,0.125,0.125,0.25,8,0,1,1,0,0,,1347052005
5c444f776e92d66cbee683cd1d6af94f94813f44,1,0,0,4,9.694236111,1,0.090909091,0,0.25,11,0,0,0,0,0,,1347620812
0435f15a05118522046e2e3dcb156a8898a29cd5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1347647161
c2cfe7907320451b1aa99c55aa887f7aa1fbe8e2,1,0,0,1,0,0,0.988558352,0,0.714285714,466,2.266845966,12,1,0,0,,1349798008
a7d0e1676fa6372aeb9c8497faedf172f249b598,1,0,0,1,0.101828704,1,0.02173913,0.02173913,0.071428571,92,0,7,1,0,0,,1349806806
3fe1eb561e28571552aa9f98e4a61206a7874cdc,1,0,0,1,0.133333333,1,0,0,0.166666667,0,0.768691303,7,1,0,0,,1349809528
d37aa0cf63aa2d1331ec0e1f2346e0e63643ae18,1,0,0,1,0.295165895,2,0.782742681,0.69183359,0.25,482,0.340304486,12,1,0,0,,1349826443
7673835d7de1ecbe138076fa025a2d52db5f3997,1,0,0,1,1.802844329,2,0.79793341,0.66934558,0.384615385,486,1.269796091,12,1,0,0,,1349975100
5e9112ec09c466fb8d3c49d0de16499ac8f1d07c,1,0,0,1,0.08630787,1,0.186507937,0.051587302,0.428571429,552,1.939623385,13,1,0,0,,1349982557
143db51a77e7fe16a9916c0b17e9ba0f744a5f9a,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1349986302
