commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
1c90a32621b0df6e2962b6f6754cb765addad0cc,1,1,1,1,0,0,0.064516129,0.064516129,0.003215434,31,0,2,1,1272667281,0,0,
c177a546a5ba912df61222418b42e8cd72b8416c,1,0,0,1,0,0,0.166666667,0,0.003215434,6,0,0,0,1276218539,0,0,
92246c843bb63fb9f1da4978bfffe0b7f9192afd,1,0,0,1,0,0,0.048951049,0.235431235,0.088235294,283,2.96502735,8,2,1276231855,0,0,
359e84c585101b02264455bd84a01bf00c8623d7,1,0,0,1,0.012708333,1,0.081081081,0.067567568,0.003267974,74,0,3,1,1276232953,0,0,
1473987fb77c69a3765599d9be386fc286eff8c8,1,0,0,1,0,0,0.058823529,0.058823529,0.003267974,34,0,0,0,1276234605,0,0,
4eb39e0c8a4d4b636b6539a5ad52d8923393471d,1,0,0,0,0,0,0,0,0.003267974,0,0,0,0,1276234883,0,0,
396f48e5a45fd17b156b396c835acb1cccf5a021,1,0,0,1,0.134050926,2,0.713497729,0.271576898,0.03525641,1415,1.973148013,4,1,1276243803,0,0,
e58fba279d21d0c7ebf8140458fd643570a6f805,1,0,0,1,0.006018519,1,0.000706714,0.000706714,0.003205128,1415,0,4,1,1276244323,0,0,
0d9c51d4738406ece615d535225f05fc3efc782f,1,0,0,1,0.370115741,1,0.087179487,0.082051282,0.006410256,129,0.32984607,4,1,1276275781,0,0,
77103eab2a2a2a9aa4dcabaa5d2176f7fc238b96,1,0,0,1,0,0,0.0625,0.125,0.003205128,16,0,0,0,1276293323,0,0,
cd247b7d86a1ccdc9ea09840668e60742832fd81,1,0,0,1,6.624155093,1,0.56561086,0.64479638,0.015923567,199,1.754313999,3,1,1276804182,0,0,
b54198819edf975c4875b1ccaed389e67b8d1b59,1,0,0,1,0.02037037,1,0.315789474,0.052631579,0.003184713,76,0,3,1,1276805942,0,0,
323571a177f2136fa1474c23df8557b383bea67f,1,0,0,1,1.003368056,1,0.156779661,0,0.003184713,236,0,3,1,1276890873,0,0,
6aacaa68706aa6956585d1d2f46a5d2905541a39,2,1,2,2,7.631886574,2,0.003360215,0.002688172,0.006369427,1416,0.764204507,4,1,1276903458,0,0,
06aac8a88902f10182830259197d83adbafea516,1,0,0,2,0,11,0.558895028,0.629834254,0.147435897,1027,3.510337552,11,2,1270363495,0,0,
7d0eae17e3edbdf3713856c95c48d1f0e76eb87a,1,0,0,2,84.65068287,1,0.466343565,0.27445701,0.136507937,1416,3.155321277,11,2,1277677314,0,0,
edad598684236d6271ce7853a8312081d15a28a6,1,0,0,2,21.98744213,1,0.012158055,0.012158055,0.00952381,292,0.811278124,4,1,1279577029,0,0,
