commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,fix,isBug,bug_id,commit_time
9edcf177ce7210d7ee7f857dedf0747e5bdb4105,1,0,0,61,0,20,0.981424149,153.5092879,54.54545455,145,7.54075995,123,8,0,0,,1316150445
c80b08866d7730d78fb7c0edfc8dc2d758942921,1,0,0,3,0.573252315,1,0.933333333,0,0.083333333,15,0,0,0,0,0,,1316199974
5fab34e13aabf2bd121e0d0e2db1f80d130887e6,1,0,0,1,0,0,0.035714286,0,0.005524862,28,0,0,0,0,0,,1316416211
2c77528ca02c1d6a19a07e9fcddef338a8b69d82,1,0,0,1,1.358368056,1,0.066666667,0,0.005524862,30,0,0,0,0,0,,1316533574
e1a6615407915402f43554429b88ab75670bc99b,1,0,0,34,5.479386574,1,0.095238095,0.047619048,0.083333333,21,0,0,0,0,0,,1316623864
1469557ec1f4652bcd54f64bad716e1c6e2379b1,1,0,0,1,0,0,0.032258065,0.032258065,0.005524862,31,0,5,1,0,0,,1316634941
d5fdf94ba14d13768a14727f6e4afb9cd87c5063,1,0,0,1,0,0,0.140625,0.022569444,0.011049724,367,0.203905876,5,1,0,0,,1316641172
c2a5bf1ee4524cfb2e6201a6eca481d6cc8f1242,1,0,0,1,0,0,0.03030303,0.03030303,0.005524862,33,0,0,0,0,0,,1316642053
2a022ae92cd6bc0d877a244bc2d98f1d8b7cdc05,1,0,0,1,0,0,0.333333333,0.00462963,0.005524862,216,0,5,1,0,0,,1316650575
c47e10543daf7938cdb3a1352ef47b349c2a1930,1,0,0,1,0.208391204,1,0.03030303,0.03030303,0.005524862,33,0,0,0,0,0,,1316660058
433caaafb04835095cfbaed5e565dfa65d32bb3c,1,0,0,35,4.817351852,2,0.062200957,0.081339713,0.416666667,85,1.962806632,4,1,0,0,,1316661348
2ae64459388e605efb7bd00b236936a23d9948b0,1,0,0,1,0.058136574,1,0.03030303,0.03030303,0.005524862,33,0,0,0,0,0,,1316665081
f775c09e4397e6d25df05ba7fe967945d7ddf8e2,1,0,0,1,1.197071759,2,0.087967644,0.032355915,0.027472527,377,1.434050022,10,2,0,0,,1316848578
3e84ddf38891816409d6748376b7d4d57afc8daa,1,0,0,1,2.298090278,1,0.12601626,0.004065041,0.005524862,246,0,5,1,0,0,,1316849130
2ce3acf2d5d4f48c1beff4b7d32162f84f61aed7,1,0,0,1,0.021412037,1,0.961165049,0.708737864,0.027027027,34,2.088684932,5,1,0,0,,1316850428
25e8d8a5deb70a6b7dab80b35065c3da12fc1d28,1,0,0,1,0.036747685,2,0.072527473,0.058241758,0.037837838,497,2.257362377,6,1,0,0,,1316853233
969df632859e9e6f8e4405e2cd48d959cadd672e,1,0,0,1,0.059583333,1,0.04601227,0.03297546,0.037837838,442,2.559583309,7,1,0,0,,1316858381
a8d85e4d6e6b736cd94235d4eaf37686b7887cb8,1,0,0,1,0.113784722,1,0.12601626,0.004065041,0.005405405,246,0,5,1,0,0,,1316858409
1130376bcd38668b80d3aa4e35c617d063fd7095,1,0,0,1,0.023530093,1,0.028195489,0.031954887,0.027027027,402,1.965237568,7,3,1,0,,1316860414
095ce14e7b289864c64e6a21df2767282ebef416,1,0,0,1,2.617789352,1,0.03030303,0.03030303,0.005405405,33,0,0,0,0,0,,1316891258
7027ea9cf508c32be56e064182d8d1035d27bfe3,1,0,0,34,2.665034722,1,0.047619048,0.047619048,0.083333333,21,0,0,0,0,0,,1316891607
23617033dc978b4256edf9dcb0bed84b7bfe6735,1,0,0,1,0.009201389,1,0.03030303,0.03030303,0.005405405,33,0,0,0,0,0,,1316892053
35772e8f136cd9b9b05a651c1a8c14cd90b27793,1,0,0,1,0,0,0.065868263,0.056886228,0.005405405,334,0,4,1,0,0,,1316937702
4e7a187c7f5cdc3fd1a4cb5c8537ae4135660d77,1,0,0,2,1.817083333,1,0.00265252,0.00265252,0.005405405,377,0,4,1,0,0,,1317005574
2fd62d9e00461a4f470717ac80bf06b53770dac3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1317017599
3cee68bdf4b7fc30cf77f3b286edcf3c3451ac3e,1,0,0,1,3.047106481,1,0.045454545,0.045454545,0.005405405,66,0,1,1,0,0,,1317111848
f02533bd6b1257891220e6ddcb5210cb7d823a0d,1,0,0,1,0,0,0.007936508,0,0.005405405,504,0,4,1,1,0,,1317111865
