commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
93283ca4559b81747f6865c064b56f14dbc458eb,1,0,0,1,0,0,0.004705882,0.004705882,0.002493766,425,0,10,1,1366413303,0,0,
ca25d0634aa352a054cc7f88a704f8d5b711c121,1,0,0,2,0,1,0.004122137,0.010839695,0.017456359,1543,2.149844682,13,1,1366415889,0,0,
a7df35b13edd9c646fbed733d518d3b64d7b45d2,1,0,0,1,0,0,0.9,0,0.002487562,10,0,0,0,1366416248,0,0,
599763067bd6232ff1195223d10a6aa75411c6c9,1,0,0,2,0,1,0.017013233,0.001890359,0.007462687,247,1.521928095,11,1,1366417077,0,0,
85cc900d6fc8aee6e4a805a341a1214cf5101332,1,0,0,4,0,3,0.043589044,0.03976704,0.099255583,1289,4.308415681,67,4,1366655338,0,1,TEZ-62
8fcc2a7c2a657c6271c73bb778426749dfa701ce,1,0,0,3,0,2,0.059174029,0.039038422,0.024752475,1375,1.945022663,41,4,1366655394,0,1,TEZ-298
5271e56a5bbdf3a4b3b6f68205a5ef2b44aebf5b,1,0,0,3,0,4,0.067179734,0.021324355,0.027027027,1325,2.389550503,48,5,1366655465,0,1,TEZ-86
003729d2b0f557ed8cc47c07dbda6be0a4727562,1,0,0,2,0.000416667,1,0.043532338,0.014925373,0.007371007,456,1.437898183,29,3,1366655501,0,0,
cf69ad09c1cdb00d8e89f1e62e2aae09a10007fb,1,0,0,3,0.695026042,3,0.046302051,0.037600994,0.017199017,1372,1.713130716,23,2,1366655540,0,1,TEZ-77
8100e0fe8ffe0a013d1f4d34cfe9124eeaff0ae6,1,0,0,2,0.179479167,1,0.270114943,0.304597701,0.009803922,1046,1.528618421,8,1,1366670901,0,0,
e7e006f0bdd93cdd8110c7af02298032bf36c035,1,0,0,3,0,2,0.047077922,0.186688312,0.014742015,247,1.844965044,17,1,1366676321,0,1,TEZ-624
888592e6f3bb2459a0c2773878ba7262a0b6d743,1,0,0,3,1.478296682,3,0.033541342,0.017550702,0.024570025,797,2.959650615,42,3,1366750347,0,1,TEZ-62
850648d85d5af958f6be6da60a8aec1b7f0b150b,1,0,0,4,1.195446759,4,0.020291693,0.003804692,0.017199017,1328,2.466471815,45,4,1366762887,0,0,
44bdc921ddd2a578f012f1a99ef125c9f20ce7b7,1,0,0,4,0,8,0.033082077,0.027742881,0.041769042,1379,2.945687066,41,4,1366767080,0,1,TEZ-230
046e3786b252ff46f88647f0e35d513afde264bd,1,0,0,4,0,3,0.006779661,0.014915254,0.014742015,1374,1.959882138,32,3,1366836713,0,0,
ac394e128191c929973ad27dc21df852ac5d6b29,1,0,0,4,1.637175926,4,0.037029418,0.012960296,0.024570025,1137,2.26579407,34,3,1366846402,0,1,TEZ-102
e688e58ba49a2dac563f71e4c1b520e92253c65a,1,0,0,4,0,4,0.139316812,0.043201608,0.019607843,1066,2.126653476,43,5,1366846466,0,1,TEZ-150
36662cc61f074dcf9213c9a96f47d0861604a6c3,1,0,0,4,1.377122189,4,0.070516717,0.313069909,0.060759494,1066,4.12242725,56,5,1366851817,0,1,TEZ-62
a0c7bfebe4b9b521a26ed764fa839636ba10ac9e,1,0,0,4,0.178356481,1,0,0.008547009,0.002531646,117,0,9,1,1366852123,0,0,
2714d55b6c0950c9559bb674bb0f0024a32e9bd7,1,0,0,4,0,4,0.074198047,0.024546722,0.020100503,1457,1.866849553,13,1,1366911041,0,1,TEZ-230
628eb722b283e8c158e17dbe1f798c38165f8d15,1,0,0,1,0,0,0.003118503,0.038461538,0.007537688,442,1.236396957,18,2,1366913990,0,1,TEZ-156
f0c54ae95b51254774d58d02fac38698a14e22f5,1,0,0,1,5.836736111,1,0.055555556,0.004115226,0.002512563,486,0,10,1,1366920183,0,1,TEZ-230
974782e6ed94106c6a1949c7a396f7fbe349b142,1,0,0,4,1.561365741,2,0.015927978,0.004155125,0.005025126,1336,0.999142104,20,2,1366941675,0,0,
91ec5861d7b2158b41a6e99792018f0a3ce6e734,1,0,0,4,1.463350694,4,0.005473454,0.413793103,0.028205128,1314,2.434663224,13,1,1367009880,0,1,TEZ-86
28f8d3c32b37d6db8359cae8629f7525c6e034c3,1,0,0,3,2.918229167,1,0.004347826,0.002173913,0.002564103,460,0,9,1,1367019215,0,0,
3c6efbb3b71d5be91ff5183a597b62aa6f64dc13,1,0,0,1,0,0,0.297297297,0.121621622,0.002564103,74,0,9,1,1367019238,0,1,TEZ-153
18e36c549f8f28bd4673d332efe3318d5a1b65cd,1,0,0,1,0,0,0.994535519,0,0.002557545,183,0,9,1,1367019254,0,0,
1afc1e347cfb69e4b85c7643c1aed7db9ca85a71,1,0,0,3,4.808949653,3,0.024752475,0.012651265,0.010230179,1074,1.823746453,26,3,1367260054,0,1,TEZ-32
7c7b3e6c094ec19234281b31a8a0fbe334e2fc10,1,0,0,4,3.198159722,1,0.03271028,0.056074766,0.002557545,1284,0,11,1,1367286201,0,0,
b6900e59e786b212544daf7cec2c13c2161df9be,1,0,0,5,0,8,0.012674768,0.004834705,0.033248082,1289,3.219123344,31,3,1367359663,0,1,TEZ-20
