commit_hex,exp,rexp,sexp,NDEV,AGE,NUC,LA,LD,NF,LT,entropy,NS,ND,commit_time,fix,isBug,bug_id
047d9258a4730791b85cc81b0e1435465a32acbf,1,0,0,1,0,0,0.971901306,0,1,853,5.76352513,12,1,1194064875,0,0,
e048893ec04a250fcb50853d6b47594fa81b0ea2,1,0,0,1,0.004375,1,0.528023599,0.103244838,0.023255814,178,0.664289618,1,1,1194065253,0,0,
bbc3fdc9973cf02256539a794b617c9b0da5b81f,1,0,0,1,3.523888889,1,0.005758157,0.005758157,0.011627907,521,0,8,1,1194369339,0,0,
3eed1f68e7fcf50b54e67afff46c205c7762da7e,1,0,0,2,4.847534722,1,0.997260274,0.967123288,0.011627907,730,0,7,1,1194483702,0,0,
03b424d305d37caffb28dcb35122380c83d953d3,1,0,0,1,0,0,0.988095238,0,0.011494253,84,0,7,1,1194483740,0,0,
2cc64f54fdf857437ac7325639afdb67bbfb0388,1,0,0,1,0,0,0.994285714,0,0.103092784,493,2.953822317,6,1,1194568580,0,0,
11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f,1,0,0,1,4.701284722,2,0.004026846,0.004026846,0.030927835,521,1.584962501,8,1,1194572554,0,0,
1d2cb51508281a281bc47d6bf93fbf264cc20540,1,0,1,0,0,0,0,0,0.010204082,0,0,0,0,1194634898,0,0,
fce72e5323cccbacd9f1a0dadc7dbd58a2899771,2,0.5,0.5,2,6.622881944,1,0.030120482,0,0.010204082,166,0,1,1,1194637470,1,0,
a1c481ceca909e32ec49ff9738b5355eb1c367a7,3,2,6,2,0.799525463,1,0.978723404,1,0.020408163,47,0.999916596,6,1,1194637659,0,0,
18a282789c4723e3c2a41960174ea55594e43d7a,1,0,0,1,9.548356481,1,0.00308642,0.00308642,0.010204082,324,0,8,1,1194889853,0,0,
7563bfe9f8caa1a3acdedb32db9e7af7aa3c76ae,4,0.5,0.25,2,3.024490741,1,0.034883721,0.005813953,0.02020202,166,0.863120569,3,1,1194898786,1,0,
925c425a73910bab9e40bc044329136379adadaa,5,2,14,2,9.793391204,1,0.009101251,0.009101251,0.02020202,520,0.543564443,7,1,1194911024,1,0,
50d018f409aa2b47c47e5c219e09e17b9d5ad501,1,0,0,2,1.136689815,1,0.552560647,0.002695418,0.02,203,0.138157229,1,1,1194996996,0,0,
7beb7dad9505746944744c20dbabca0b46d76585,6,3.25,0.357142857,2,11.31698495,2,0.85289206,0.000151814,0.117117117,2196,2.561060149,10,1,1195508723,0,0,
87be48dc97ad6e6a0e49d6b665df56d4f86b6808,1,0,0,3,1.355729167,1,0.022222222,0.022222222,0.009009009,180,0,1,1,1195625858,0,0,
ca3993e5b10ed20ddfe04d0c57c2fb149223804b,1,0,0,0,0,0,0,0,0,0,0,0,0,1195626076,0,0,
667c6c4bb85800feb0f31037ee3eb9a36043f79a,1,0,0,0,0,0,0,0,0,0,0,0,0,1195626557,0,0,
b07de9a00b2e2bdb0f839c467181657fdee942af,1,0,0,0,0,0,0,0,0,0,0,0,0,1195626699,0,0,
9cb5cf3a21c6185727044e9d5ba52feba0da0973,1,0,0,2,1.391539352,1,0.324324324,0.27027027,0.009009009,37,0,2,1,1195628952,0,0,
c67fef7ea93c505bdf94096fb852da87f4fb2c50,1,0,0,2,0.489849537,1,0.027027027,0.027027027,0.009009009,37,0,2,1,1195671275,0,0,
9201659e2882da8eda910cd3449e14fd9d7d31bd,1,0,0,3,0.753715278,1,0.010989011,0,0.009009009,182,0,1,1,1195690979,0,0,
